depth	min	max	median	mean
0	-63	-63	-63	-63
1	-61	-54	-59	-59
2	-60	-46	-56	-55
3	-57	-42	-52	-51
4	-55	-37	-48	-48
5	-53	-32	-45	-44
6	-51	-27	-41	-40
7	-49	-22	-37	-37
8	-46	-16	-34	-33
9	-44	-11	-30	-29
10	-42	-5	-26	-25
11	-40	1	-22	-22
12	-38	7	-19	-18
13	-36	12	-15	-14
14	-34	18	-11	-10
15	-33	24	-8	-7
16	-31	30	-5	-3
17	-29	36	-1	0
18	-27	42	3	4
19	-25	48	6	8
20	-24	54	10	12
21	-22	60	14	16
22	-20	66	18	20
23	-19	72	22	24
24	-17	79	27	28
25	-15	84	32	33
26	-14	91	36	37
27	-12	98	41	42
28	-11	105	46	47
29	-9	111	51	52
30	-8	119	56	56
31	-7	126	61	61
32	-5	133	65	65
33	-4	139	70	70
34	-3	147	75	74
35	-2	155	79	78
36	-1	163	84	83
