depth	min	max	median	mean
0	-65	-65	-65	-65
1	-63	-63	-63	-63
2	-61	-60	-61	-61
3	-59	-58	-59	-59
4	-57	-55	-56	-56
5	-55	-52	-53	-53
6	-52	-50	-51	-51
7	-50	-47	-49	-49
8	-49	-46	-47	-47
9	-48	-44	-46	-46
10	-46	-42	-44	-44
11	-44	-40	-42	-42
12	-42	-37	-39	-39
13	-40	-35	-38	-38
14	-38	-33	-36	-36
15	-36	-30	-33	-33
16	-33	-26	-30	-30
17	-30	-22	-26	-26
18	-25	-16	-20	-20
19	-19	-7	-13	-13
20	-11	6	-2	-2
21	-2	22	10	10
22	4	35	20	20
23	10	51	29	30
24	13	59	35	35
25	16	66	40	40
26	19	73	45	45
27	21	79	49	49
28	24	84	52	53
29	26	90	56	57
30	28	97	60	61
