depth	min	max	median	mean
0	-66	-66	-66	-66
1	-64	-63	-64	-64
2	-62	-61	-61	-61
3	-59	-58	-59	-59
4	-57	-56	-57	-57
5	-55	-53	-54	-54
6	-53	-50	-52	-52
7	-50	-47	-49	-49
8	-47	-43	-45	-45
9	-43	-39	-41	-41
10	-41	-36	-38	-38
11	-38	-33	-35	-35
12	-35	-29	-32	-32
13	-32	-26	-29	-29
14	-28	-22	-25	-25
15	-24	-17	-21	-21
16	-20	-12	-17	-17
17	-17	-8	-13	-13
18	-14	-4	-9	-9
19	-11	0	-6	-6
20	-8	4	-2	-2
21	-5	9	1	2
22	-3	12	4	4
23	-1	16	7	7
24	2	19	10	10
25	4	24	13	13
26	7	28	16	17
27	10	32	20	20
28	12	36	23	23
29	14	40	26	26
30	16	44	28	29
31	18	48	31	32
32	21	52	35	35
33	24	57	38	39
34	26	62	42	43
35	29	67	46	47
36	33	72	50	51
37	35	76	54	55
38	38	81	58	58
39	42	86	62	62
40	45	90	66	66
41	48	94	69	70
42	51	98	73	74
43	54	103	77	77
44	58	107	81	81
45	61	111	84	85
46	64	115	88	89
47	67	119	92	92
48	71	123	96	96
49	75	127	100	100
50	78	131	104	104
51	81	135	108	108
52	85	140	111	111
53	88	144	115	115
54	92	148	119	119
55	95	152	123	123
56	99	156	127	127
57	102	160	131	131
58	106	164	135	135
59	110	167	139	139
60	114	171	143	142
61	118	176	147	146
62	121	179	150	150
63	125	182	154	154
64	128	186	158	158
65	132	190	162	162
66	136	194	166	166
67	140	197	170	170
68	144	201	174	174
69	147	205	178	177
70	152	208	181	181
71	155	212	185	185
72	159	216	189	189
73	163	219	193	193
74	166	222	197	196
75	170	226	201	200
76	174	229	205	204
77	178	233	209	208
78	182	236	213	212
79	186	240	217	216
80	190	243	220	219
81	194	247	224	223
82	198	250	228	227
83	202	253	232	231
84	206	256	236	235
85	210	259	240	238
86	215	262	243	242
87	218	265	247	246
88	222	268	251	250
89	226	270	255	253
90	230	273	259	257
91	234	276	262	260
92	238	278	266	264
93	241	280	270	267
94	244	282	273	270
