labID,age,error,depth,cc
surface,-62,1,0,0
C14_1,80,30,60.5,1
C14_2,130,30,76.5,1
C14_3,1060,30,112.5,1
C14_4,1900,30,159.5,1
C14_5,3820,30,297.5,1
