iteration,logOdds,memory,depth_code,accretion
1,-59.9834,0.0345739,accRate[2],0.306724
1,-59.9834,0.0345739,accRate[4],0.936115
1,-59.9834,0.0345739,accRate[6],4.78783
1,-59.9834,0.0345739,accRate[8],4.26266
1,-59.9834,0.0345739,accRate[10],6.79521
1,-59.9834,0.0345739,accRate[12],2.16275
1,-59.9834,0.0345739,accRate[14],1.99237
1,-59.9834,0.0345739,accRate[16],2.41995
1,-59.9834,0.0345739,accRate[18],1.06619
2,-59.9915,0.0529935,accRate[2],0.314103
2,-59.9915,0.0529935,accRate[4],0.97867
2,-59.9915,0.0529935,accRate[6],4.67516
2,-59.9915,0.0529935,accRate[8],5.20533
2,-59.9915,0.0529935,accRate[10],8.86608
2,-59.9915,0.0529935,accRate[12],1.76386
2,-59.9915,0.0529935,accRate[14],3.24488
2,-59.9915,0.0529935,accRate[16],4.11561
2,-59.9915,0.0529935,accRate[18],4.55493
3,-59.9895,0.0304715,accRate[2],0.261439
3,-59.9895,0.0304715,accRate[4],0.730567
3,-59.9895,0.0304715,accRate[6],5.18379
3,-59.9895,0.0304715,accRate[8],4.29963
3,-59.9895,0.0304715,accRate[10],7.27425
3,-59.9895,0.0304715,accRate[12],3.68662
3,-59.9895,0.0304715,accRate[14],3.34977
3,-59.9895,0.0304715,accRate[16],3.30142
3,-59.9895,0.0304715,accRate[18],4.92682
4,-60.0104,0.188611,accRate[2],0.3161
4,-60.0104,0.188611,accRate[4],0.866828
4,-60.0104,0.188611,accRate[6],3.85544
4,-60.0104,0.188611,accRate[8],3.41501
4,-60.0104,0.188611,accRate[10],8.0559
4,-60.0104,0.188611,accRate[12],3.73132
4,-60.0104,0.188611,accRate[14],4.00444
4,-60.0104,0.188611,accRate[16],7.95146
4,-60.0104,0.188611,accRate[18],5.21568
5,-60.0068,0.226345,accRate[2],0.235123
5,-60.0068,0.226345,accRate[4],0.623919
5,-60.0068,0.226345,accRate[6],2.36179
5,-60.0068,0.226345,accRate[8],2.84224
5,-60.0068,0.226345,accRate[10],1.57931
5,-60.0068,0.226345,accRate[12],0.707048
5,-60.0068,0.226345,accRate[14],2.77551
5,-60.0068,0.226345,accRate[16],11.2098
5,-60.0068,0.226345,accRate[18],21.2081
6,-60.0154,0.200427,accRate[2],0.232155
6,-60.0154,0.200427,accRate[4],0.830535
6,-60.0154,0.200427,accRate[6],4.04601
6,-60.0154,0.200427,accRate[8],4.61109
6,-60.0154,0.200427,accRate[10],6.45628
6,-60.0154,0.200427,accRate[12],0.828055
6,-60.0154,0.200427,accRate[14],3.73963
6,-60.0154,0.200427,accRate[16],8.05082
6,-60.0154,0.200427,accRate[18],6.70187
7,-59.9992,0.0425635,accRate[2],0.231755
7,-59.9992,0.0425635,accRate[4],0.678822
7,-59.9992,0.0425635,accRate[6],3.89584
7,-59.9992,0.0425635,accRate[8],4.09663
7,-59.9992,0.0425635,accRate[10],4.40427
7,-59.9992,0.0425635,accRate[12],2.47443
7,-59.9992,0.0425635,accRate[14],4.50423
7,-59.9992,0.0425635,accRate[16],6.0268
7,-59.9992,0.0425635,accRate[18],7.22374
8,-59.9826,0.153514,accRate[2],0.291494
8,-59.9826,0.153514,accRate[4],1.00709
8,-59.9826,0.153514,accRate[6],3.22715
8,-59.9826,0.153514,accRate[8],4.1826
8,-59.9826,0.153514,accRate[10],4.94728
8,-59.9826,0.153514,accRate[12],2.60939
8,-59.9826,0.153514,accRate[14],1.54068
8,-59.9826,0.153514,accRate[16],5.36331
8,-59.9826,0.153514,accRate[18],8.19661
