labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,1,0.166157761,291.60533158321067,6.561119963122239,1,5.622218077911103,1.0018792686704252
2,2,0.144529262,349.9309060331951,7.558507565117015,1,4.558502459117005,0.9408749018817496
3,3,0.124427481,314.53527046240384,13.084667259502668,1,8.33333335,1.66666667
4,4,0.230025445,273.20839904641673,7.458589298250512,1,6.102321762204644,1.4828641862990617
5,5,0.183715013,301.3228467693124,9.34100825201535,1,7.960004482586675,1.9032370704731407
6,6,0.211195929,286.5426412397519,7.650688515301376,1,10.462301120924602,1.447982469562631
7,7,0.187277354,244.94911482323155,8.303774999940883,1,11.037875255409084,1.72963505345927
8,8,0.170992366,189.4638700455944,9.075319384817304,1,16.513319049693305,2.7841455889016244
9,9,0.192875318,175.00363935000726,7.822662682311991,1,10.932356871864712,1.5972173365277678
10,10,0.294147583,117.8865338191064,4.79798192626263,1,9.412594268825188,1.139865168946397
11,11,0.187277354,105.52964056105928,5.075975710151951,1,8.269174316538349,1.398317369463301
12,12,0.188804071,77.40407193814147,5.449246660898494,1,9.126920934920507,1.226658169119983
13,13,0.2043257,78.94569899122472,5.56567177779801,1,3.8203355076406704,1.4517274862367884
14,14,0.264122137,117.73782586880895,4.8507984263682635,1,11.52932390639198,1.1045092355423518
15,15,0.165648855,138.12764280958862,6.063803512127606,1,8.244030099821394,1.319869219306405
16,16,0.233842239,105.05793741011588,5.767680761535361,1,8.062626849458587,1.0852295688371256
17,17,0.167938931,82.92909539919152,6.6343276299353215,1,13.33333336,1.66666667
18,18,0.181933842,47.22742844445486,4.883316109766633,1,9.149657101632648,1.393492769453652
19,19,0.137659033,35.36384602072769,4.30378005860756,1,8.050575299434483,1.3058033192782732
20,20,0.15394402,30.662070227990807,3.64572015729144,1,5.6006467612012925,1.2114198857561729
21,21,0.123664122,22.9200999458402,3.646587907293175,1,5.017234626701136,1.4459670195586007
22,22,0.118829517,19.537218372407768,3.682765657365531,1,5.833333345,1.66666667
23,23,0.178625954,25.76860776820388,3.233960273134587,1,4.793835659587671,1.135180285603694
24,24,0.140203562,37.45143264156953,5.9735035119470075,1,5.833333345,1.66666667
25,25,0.135368957,22.60135379520271,4.481848458963696,1,7.347944264695888,1.8090638702847943
26,26,0.150890585,24.302747131938823,4.325888991985111,1,10.1552839036439,1.5618826697904318
27,27,0.15216285,16.6666667,4.35833334205,1,8.057781849448897,1.4640989695948643
28,28,0.109160305,22.019597544039193,5.6436228446205785,1,10.745168738157004,2.1135746875604826
29,29,0.136895674,24.4992482989985,5.252638827171944,1,10.770488938207643,2.379201004758402
30,30,0.114249364,17.42640165151947,4.635422842604179,1,10.459557420919117,1.9758104039516209
31,32,0.344783715,12.176390591019448,1.996928053993856,2,9.100188418200377,1.0574419021148838
32,34,0.328244275,13.335896326671792,3.732717374132102,2,6.606791329880249,1.162795268992257
33,36,0.286513995,16.060043232120087,2.9887740393108815,2,6.302700445938734,1.1017120355367576
34,38,0.244529262,11.774864240216392,3.1250489729167645,2,7.529632848392598,1.0503837854341007
35,42,0.221882952,12.23353572446707,2.624093405248187,2,5.753290928173247,1.1316723189300113
36,44,0.269211196,7.868783665737567,2.5447646384228624,2,4.808820859617641,1.060825885454985
37,46,0.360559796,7.836480832339627,2.6495141719656945,2,5.537061994407456,1.097999402195999
38,48,0.384478372,12.5691344584716,2.5741587384816507,2,6.649706746632747,0.936278718539224
