labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.345726978,74.90535582661332,40.47914360539988,2
2,4,0.252780491,59.96907666991584,32.40752065878695,2
3,6,0.350621877,58.84542438700932,31.800294625075914,2
4,8,0.300145002,38.51895182332997,20.81579034208494,2
5,10,0.215743368,41.082604562235645,22.20119818411897,2
6,12,0.247829004,26.89921888797599,14.536441783413864,2
7,14,0.323600904,36.209962361731144,19.568003518726627,2
8,16,0.308293735,33.49169556674435,18.09904164360038,2
9,18,0.295052044,24.435550463223993,13.205065850930902,2
10,20,0.266446596,29.605218027693915,15.99877417024985,2
11,22,0.235464433,22.95112571459379,12.402876983284369,2
