depth	min	max	median	mean
0	-66	-66	-66	-66
1	-65	-64	-65	-65
2	-64	-63	-64	-64
3	-63	-61	-63	-62
4	-62	-60	-61	-61
5	-61	-58	-60	-60
6	-60	-57	-58	-58
7	-58	-55	-57	-57
8	-57	-54	-56	-56
9	-56	-52	-54	-54
10	-55	-51	-53	-53
11	-54	-49	-51	-51
12	-52	-47	-50	-50
13	-51	-45	-48	-48
14	-49	-43	-46	-46
15	-48	-41	-45	-45
16	-46	-39	-43	-43
17	-44	-37	-41	-41
18	-43	-35	-39	-39
19	-41	-33	-37	-37
20	-39	-30	-35	-35
21	-37	-26	-32	-32
22	-34	-22	-28	-28
23	-30	-17	-24	-24
24	-27	-11	-20	-20
25	-23	-5	-15	-15
26	-20	0	-11	-11
27	-17	6	-7	-6
28	-12	13	-1	-1
29	-8	22	5	5
30	-4	30	10	11
31	0	38	16	17
32	4	45	21	22
33	7	52	27	27
34	11	59	32	33
35	15	66	37	38
36	19	73	43	44
37	23	81	49	50
38	27	90	55	56
39	30	101	60	62
