depth	min	max	median	mean
0	-65	-65	-65	-65
1	-64	-64	-64	-64
2	-63	-62	-63	-63
3	-61	-60	-61	-61
4	-59	-58	-59	-59
5	-57	-56	-56	-56
6	-54	-53	-53	-53
7	-50	-49	-50	-50
8	-45	-43	-44	-44
9	-39	-37	-38	-38
10	-30	-27	-29	-29
11	-23	-18	-21	-21
12	-16	-10	-13	-13
13	-10	-2	-6	-6
14	-5	5	0	0
15	0	12	6	6
16	7	22	14	14
17	15	36	25	25
18	24	54	37	37
19	28	63	43	43
20	30	69	46	47
21	32	73	49	50
22	34	78	52	53
23	36	83	55	56
24	38	87	58	59
25	40	91	61	62
26	42	96	64	65
27	44	102	68	69
28	48	108	73	74
29	51	115	78	79
30	54	123	83	85
