labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,1,0.430488354,110,10.03,1,26.51,1.732
2,2,0.437584818,110,10.03,1,26.51,1.732
3,3,0.503269554,93.98,13.37,1,31.725,3.1615
4,6,0.572003728,53.74,10.96,1,29.61,2.744
5,10,0.687723983,31.72,7.947,1,22.575000000000003,2.133
6,12,0.691740348,8.557,1.698,1,23.799999999999997,2.0835
7,14,0.704727157,37.22,6.844,1,22.645,1.7655
8,16,0.673257365,34.91,7.318,1,27.545,1.985
9,18,0.711446622,33.67,7.312,1,25.795,1.969
10,20,0.673049486,27.7,6.831,1,25.72,1.9
11,24,0.704342602,23.97,6.061,1,23.625,1.6785
12,32,0.660050313,32.13,6.367,2,28.96,1.831
13,36,0.666115828,27.59,5.875,2,29.54,1.779
14,40,0.637055607,24.41,6.251,2,26.99,1.8125
15,44,0.729907012,23.78,5.557,2,26.19,1.6655
16,46,0.684189386,23.34,5.388,2,19.75,1.367
17,48,0.673860371,24.89,6.587,2,26.585,1.8445
18,54,0.661444912,23.79,6.074,2,24.135,1.7235
