labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,4,0.27,72.72860303,3.833333341,2
2,10,0.3,63.22860301099999,4.3333333419999995,2
3,12,0.28,61.56193634099999,3.666666674,2
4,18,0.17,26.395269604,1.833333337,2
5,20,0.1,28.728602942,1.833333337,2
6,22,0.16,26.895269605000003,2.333333338,2
7,24,0.19,30.895269613000004,2.5000000049999995,2
8,28,0.15,19.39526959,0,2
9,34,0.13,19.39526959,0,2
10,36,0.14,19.39526959,0,2
11,38,0.26,19.39526959,0,2
12,40,0.22,19.39526959,0,2
13,42,0.13,19.39526959,0,2
14,44,0.18,19.39526959,0,2
15,46,0.26,19.39526959,0,2
16,48,0.46,19.39526959,0,2
