depth	min	max	median	mean
0	-62	-62	-62	-62
1	-59	-58	-59	-59
2	-56	-55	-56	-56
3	-54	-52	-53	-53
4	-51	-49	-50	-50
5	-49	-46	-48	-48
6	-47	-44	-45	-45
7	-44	-41	-42	-42
8	-42	-37	-40	-39
9	-39	-34	-36	-36
10	-36	-31	-33	-33
11	-33	-27	-30	-30
12	-30	-23	-27	-27
13	-26	-20	-23	-23
14	-23	-16	-20	-19
15	-19	-11	-15	-15
16	-15	-6	-11	-11
17	-11	0	-6	-6
18	-7	6	-1	-1
19	-4	9	2	2
20	-2	13	5	5
21	0	16	7	7
22	2	18	9	9
23	2	20	10	10
24	3	22	11	11
25	4	24	12	13
26	5	26	14	14
27	7	30	16	17
28	9	34	19	19
29	12	40	23	24
30	16	46	28	29
31	22	57	37	38
32	28	71	47	47
33	32	82	53	54
34	36	92	59	60
35	49	103	71	72
36	58	117	84	85
37	63	126	91	92
38	66	137	98	98
39	69	143	102	103
40	72	151	106	108
41	74	157	111	112
42	75	163	115	116
43	78	169	119	120
44	80	175	123	125
45	83	181	128	129
46	85	188	132	133
47	88	194	136	138
48	90	200	140	142
49	94	207	145	147
50	98	213	150	151
