study_id,site_id,core_id,core_count,habitat,management,accumulation_type,depth_min_cm,depth_max_cm,marker_rate,marker_rate_se,marker_rate_unit,SET_rate,SET_rate_unit,latitude,longitude,country,admin_division,climate_zone,inventory_year,ecosystem,horizon_min,horizon_max,pb210_CAR,pb210_CAR_unit,cs137_CAR,cs137_CAR_unit,PublicationID,First_Author,Year,Publication_Type,Source,CCAP_Class,salinity_class,Stature,Activity,Activity_Time,DOC,Salinity_in_Water,Unit_Source,CalculationMethod
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,1,marsh,natural,sediment accretion,0,100,NA,NA,NA,NA,NA,38.60271,-75.65287,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,100,146.27647623739642,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,1,marsh,restored,organic carbon,0,68,NA,NA,NA,NA,NA,38.049901,-121.765744,United States,California,Mediterranean,nggi_2022,Estuarine Emergent Wetland,0,79,220,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,1,marsh,restored,organic carbon,0,79,NA,NA,NA,NA,NA,38.049846,-121.765356,United States,California,Mediterranean,nggi_2022,Estuarine Emergent Wetland,0,68,375,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,1,marsh,restored,organic carbon,0,78,NA,NA,NA,NA,NA,38.050084,-121.766915,United States,California,Mediterranean,nggi_2022,Estuarine Emergent Wetland,0,78,240,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,1,marsh,restored,organic carbon,0,81,NA,NA,NA,NA,NA,38.107379,-121.647138,United States,California,Mediterranean,nggi_2022,Estuarine Emergent Wetland,0,81,460,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-Tw1,Typha W2,1,marsh,restored,organic carbon,0,61,NA,NA,NA,NA,NA,38.10736,-121.647339,United States,California,Mediterranean,nggi_2022,Estuarine Emergent Wetland,0,61,370,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021,US-Tw1,Typha W3,1,marsh,restored,organic carbon,0,81,NA,NA,NA,NA,NA,38.107269,-121.64784,United States,California,Mediterranean,nggi_2022,Estuarine Emergent Wetland,0,82,210,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arriola_and_Cable_2017,snipe_creek_high_marsh,snipe_creek_F,1,marsh,natural,organic carbon,NA,NA,NA,NA,NA,NA,NA,30.07775,-83.9461,United States,Florida,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,40,65.2,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arriola_and_Cable_2017,snipe_creek_high_marsh,snipe_creek_S,1,marsh,natural,organic carbon,NA,NA,NA,NA,NA,NA,NA,30.07675,-83.94756666666666,United States,Florida,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,35,49.5,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,1,marsh,natural,organic carbon,NA,NA,NA,NA,NA,NA,NA,30.06585,-83.95698333333333,United States,Florida,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,35,109.5,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_MC,1,marsh,natural,organic carbon,NA,NA,NA,NA,NA,NA,NA,30.0686,-83.95386666666667,United States,Florida,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,41,95.7,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,175,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.288391112,-90.140757793,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,248.9,gramsPerSquareMeterPerYear,180.4,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,224,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.50040552,-89.915682786,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,190.7,gramsPerSquareMeterPerYear,217.2,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,225,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.563333065,-90.008160394,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,185.3,gramsPerSquareMeterPerYear,503,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,253,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.55395623,-90.074757718,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,349.6,gramsPerSquareMeterPerYear,417.7,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,3166,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.857378576,-90.287707952,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,399,gramsPerSquareMeterPerYear,997.6,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
