ecosystem,climate_zone,MGeodelSOC1Pb,LowerCIGeodelSOC1Pb,UpperCIGeodelSOC1Pb,pb210_n,MGeodelSOC2Cs,LowerCIGeodelSOC2Cs,UpperCIGeodelSOC2Cs,cs137_n
Estuarine Aquatic Bed,Warm Temperate,0.10177239198219626,0.06773896402432013,0.15290490368378146,6,NA,NA,NA,0
Estuarine Emergent Wetland,Cold Temperate,1.253588592463399,0.9649346939513476,1.6285914155695191,15,1.435381956626162,1.034887443791273,1.990865164872458,6
Estuarine Emergent Wetland,Mediterranean,0.7345424279617876,0.6344240889983868,0.8504604220306803,29,0.9892422819085186,0.8622697173025757,1.1349120497666465,35
Estuarine Emergent Wetland,Subtropical,1.5874369274664495,1.1668720485076876,2.1595821083441775,37,2.158655924873065,1.6961788736284553,2.7472311290031466,50
Estuarine Emergent Wetland,Warm Temperate,1.0385504028010382,0.8740855688413737,1.2339603553779035,90,1.085252173947421,0.821095010464774,1.434392203151905,56
Estuarine Forested Wetland,Subtropical,0.9346233930691688,0.6025918512178026,1.4496062054387089,10,2.0319578053197858,1.1640040486560936,3.5471118226495744,2
Estuarine Scrub/Shrub Wetland,Subtropical,0.26797126954278677,0.19023773421435514,0.3774677069033041,2,0.29999423196014563,NA,NA,1
Palustrine Emergent Wetland,Cold Temperate,0.925101,NA,NA,1,NA,NA,NA,0
Palustrine Emergent Wetland,Subtropical,0.98,NA,NA,1,1.839647588740142,1.3169569761609037,2.5697902908135166,8
Palustrine Emergent Wetland,Warm Temperate,1.5442110162989477,1.156265723773236,2.062318041459723,41,1.4575289189610383,1.2206196964890348,1.7404196865889403,12
Palustrine Forested Wetland,Subtropical,0.7919595949289332,0.5216243363331627,1.202397887355098,2,NA,NA,NA,0
Palustrine Forested Wetland,Warm Temperate,1.7309999999999999,NA,NA,1,1.1470846746113412,0.8375064651941375,1.5710962307893321,6
