depth	min	max	median	mean
0	-65	-65	-65	-65
1	-63	-56	-60	-60
2	-61	-47	-56	-55
3	-58	-40	-51	-51
4	-56	-31	-47	-46
5	-54	-26	-43	-42
6	-51	-19	-38	-38
7	-48	-13	-34	-33
8	-46	-6	-30	-29
9	-43	0	-25	-24
10	-41	6	-21	-20
11	-38	11	-17	-16
12	-35	18	-12	-11
13	-32	23	-8	-7
14	-29	29	-3	-3
15	-26	35	1	2
16	-23	40	6	6
17	-20	45	10	11
18	-17	51	15	15
19	-13	56	19	20
20	-10	63	24	25
21	-6	67	29	29
22	-3	73	33	34
23	0	78	38	38
24	3	83	42	43
25	7	88	47	47
26	10	94	51	51
27	13	99	56	56
28	17	104	61	60
29	20	109	65	65
30	24	114	70	69
31	26	118	74	74
32	30	123	79	78
33	34	128	83	83
34	37	133	88	87
35	40	137	92	91
36	43	142	97	96
37	47	146	102	100
38	50	151	106	105
39	54	155	111	109
40	56	160	116	114
41	60	164	121	118
42	63	168	125	122
43	65	173	130	127
44	68	177	134	131
45	71	181	139	135
46	74	186	144	140
47	77	190	148	144
48	80	195	152	148
49	82	199	157	152
50	83	204	161	157
