depth	min	max	median	mean
0	-59	-59	-59	-59
1	-57	-49	-54	-54
2	-56	-39	-50	-49
3	-53	-31	-45	-44
4	-51	-23	-41	-40
5	-48	-16	-36	-35
6	-46	-9	-31	-30
7	-43	-2	-27	-26
8	-40	5	-22	-21
9	-37	12	-18	-16
10	-34	19	-13	-12
11	-31	25	-8	-7
12	-29	32	-4	-3
13	-26	37	1	2
14	-23	43	5	7
15	-20	49	10	11
16	-17	56	15	16
17	-14	62	20	21
18	-10	69	24	26
19	-6	75	29	30
20	-3	82	34	35
21	0	88	39	40
22	3	94	44	45
23	7	99	48	49
24	10	104	53	54
25	14	110	58	59
26	17	116	63	64
27	20	121	68	69
28	23	127	73	73
29	27	133	78	78
30	30	139	83	83
31	34	144	88	88
32	37	150	92	93
33	40	154	98	97
34	43	160	102	102
35	47	165	107	107
36	50	171	112	111
37	53	177	117	116
38	56	182	122	121
39	60	187	127	126
40	63	193	132	130
41	65	199	136	135
42	68	205	141	140
43	70	211	146	144
44	73	217	150	149
