labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.397024385,79.09888508318627,42.74534301286536,2
2,4,0.376114962,58.578061146882206,31.655810497439408,2
3,6,0.387262882,46.022132077649296,24.870537932028068,2
4,8,0.356224131,41.5156842264501,22.435236107400375,2
5,10,0.431005733,39.67778730951291,21.442029514739215,2
6,12,0.334126351,30.713996750188738,16.59796247446632,2
7,16,0.434231274,27.006647181130926,14.59449644796906,2
8,20,0.51192718,29.150963804520934,15.753293433522003,2
9,24,0.561215698,28.442238587852025,15.370295589032546,2
10,28,0.360439968,28.507281503859993,15.405445032066964,2
11,32,0.456300759,31.50597308064038,17.025949542395576,2
12,36,0.452056627,27.93012315298776,15.093546430021847,2
13,40,0.489178634,33.8650003074557,18.300776967344248,2
14,44,0.521320859,27.781946349177424,15.0134711129202,2
