depth	min	max	median	mean
0	-66	-66	-66	-66
1	-64	-59	-62	-62
2	-60	-48	-53	-54
3	-57	-43	-49	-50
4	-54	-40	-46	-47
5	-52	-37	-44	-44
6	-49	-34	-41	-41
7	-46	-31	-38	-38
8	-43	-25	-34	-34
9	-39	-21	-30	-30
10	-36	-17	-27	-27
11	-34	-13	-25	-24
12	-33	-11	-23	-23
13	-31	-8	-21	-21
14	-27	-3	-17	-17
15	-23	3	-12	-12
16	-21	9	-9	-8
17	-18	14	-6	-5
18	-15	21	-1	0
19	-11	28	4	5
20	-7	36	10	11
21	-1	45	17	18
22	4	54	24	25
23	10	62	32	33
24	13	73	39	40
25	17	83	46	47
26	23	92	55	56
27	29	101	63	63
28	30	105	65	65
29	31	108	66	67
30	33	113	70	70
31	38	119	74	75
32	43	125	80	81
33	49	131	85	86
34	53	137	91	92
35	57	142	96	97
