depth	min	max	median	mean
0	-60	-60	-60	-60
1	-58	-56	-57	-57
2	-55	-52	-54	-54
3	-53	-48	-51	-51
4	-49	-43	-47	-46
5	-45	-38	-42	-42
6	-42	-32	-38	-38
7	-37	-26	-33	-32
8	-33	-20	-27	-27
9	-29	-13	-22	-22
10	-25	-8	-18	-18
11	-22	-2	-14	-13
12	-19	4	-9	-9
13	-15	10	-5	-4
14	-12	16	0	0
15	-9	22	5	5
16	-6	30	10	10
17	-2	37	15	15
18	1	45	19	20
19	4	53	25	26
20	7	61	30	31
21	11	70	35	36
22	14	78	41	42
23	17	87	46	48
24	20	97	52	53
25	23	102	56	58
26	25	109	61	63
27	28	118	66	68
28	31	124	71	73
29	33	131	76	77
30	35	139	81	82
31	38	146	85	87
32	40	153	90	92
33	42	161	95	97
34	46	169	100	102
35	47	177	105	107
36	49	187	109	112
