territory,habitat,mid,lowerCI,upperCI,variable
Cabo Verde,mangrove,NA,NA,NA,Total Stock (MgC)
Cabo Verde,marsh,NA,NA,NA,Total Stock (MgC)
Cabo Verde,seagrass,0.216,NA,NA,Total Stock (MgC)
Nauru,mangrove,989.489970727539,825.2478903193485,1153.7320511357295,Total Stock (MgC)
Nauru,marsh,0,NA,NA,Total Stock (MgC)
Nauru,seagrass,NA,NA,NA,Total Stock (MgC)
Saint Barthelemy,mangrove,1144.8036179321289,954.7815525950261,1334.8256832692316,Total Stock (MgC)
Saint Barthelemy,marsh,0,NA,NA,Total Stock (MgC)
Saint Barthelemy,seagrass,NA,NA,NA,Total Stock (MgC)
Israel,mangrove,0,NA,NA,Total Stock (MgC)
Israel,marsh,2341.574606048584,1709.4062313846357,2973.7429807125322,Total Stock (MgC)
Israel,seagrass,NA,NA,NA,Total Stock (MgC)
Syria,mangrove,0,NA,NA,Total Stock (MgC)
Syria,marsh,3102.120555725098,2264.623213270714,3939.6178981794815,Total Stock (MgC)
Syria,seagrass,NA,NA,NA,Total Stock (MgC)
Canarias,mangrove,0,NA,NA,Total Stock (MgC)
Canarias,marsh,3241.4587632385255,2366.343482861166,4116.574043615885,Total Stock (MgC)
Canarias,seagrass,NA,NA,NA,Total Stock (MgC)
Saint Martin,mangrove,5864.061673487191,4890.705987843084,6837.417359131298,Total Stock (MgC)
Saint Martin,marsh,0,NA,NA,Total Stock (MgC)
Saint Martin,seagrass,NA,NA,NA,Total Stock (MgC)
Réunion,mangrove,0,NA,NA,Total Stock (MgC)
Réunion,marsh,5371.186529663087,3921.096385320465,6821.276674005709,Total Stock (MgC)
Réunion,seagrass,NA,NA,NA,Total Stock (MgC)
Aruba,mangrove,28277.05560473819,23583.44316021235,32970.66804926403,Total Stock (MgC)
Aruba,marsh,0,NA,NA,Total Stock (MgC)
Aruba,seagrass,NA,NA,NA,Total Stock (MgC)
Jordan,mangrove,NA,NA,NA,Total Stock (MgC)
Jordan,marsh,NA,NA,NA,Total Stock (MgC)
Jordan,seagrass,14796,NA,NA,Total Stock (MgC)
Slovenia,mangrove,0,NA,NA,Total Stock (MgC)
Slovenia,marsh,35580.42517727662,25974.572988723936,45186.27736582931,Total Stock (MgC)
Slovenia,seagrass,864,NA,NA,Total Stock (MgC)
Iraq,mangrove,0,NA,NA,Total Stock (MgC)
Iraq,marsh,45827.34203923341,33455.070723480196,58199.61335498662,Total Stock (MgC)
Iraq,seagrass,NA,NA,NA,Total Stock (MgC)
Bonaire,mangrove,84600.80112866116,70558.20141301739,98643.40084430492,Total Stock (MgC)
Bonaire,marsh,0,NA,NA,Total Stock (MgC)
Bonaire,seagrass,NA,NA,NA,Total Stock (MgC)
Dominica,mangrove,NA,NA,NA,Total Stock (MgC)
Dominica,marsh,NA,NA,NA,Total Stock (MgC)
Dominica,seagrass,28620,NA,NA,Total Stock (MgC)
Saint Pierre and Miquelon,mangrove,0,NA,NA,Total Stock (MgC)
Saint Pierre and Miquelon,marsh,69571.0700785095,50788.567833415334,88353.57232360366,Total Stock (MgC)
Saint Pierre and Miquelon,seagrass,NA,NA,NA,Total Stock (MgC)
Oman,mangrove,89576.96306606122,74708.38712708524,104445.5390050372,Total Stock (MgC)
Oman,marsh,21056.956605834963,15372.088825626472,26741.824386043452,Total Stock (MgC)
Oman,seagrass,NA,NA,NA,Total Stock (MgC)
Guam,mangrove,11968.618695687615,9981.98831807323,13955.249073302,Total Stock (MgC)
Guam,marsh,0,NA,NA,Total Stock (MgC)
Guam,seagrass,33156,NA,NA,Total Stock (MgC)
Saint Vincent and the Grenadines,mangrove,17963.524796838235,14981.820311316746,20945.229282359724,Total Stock (MgC)
Saint Vincent and the Grenadines,marsh,0,NA,NA,Total Stock (MgC)
Saint Vincent and the Grenadines,seagrass,34560,NA,NA,Total Stock (MgC)
Namibia,mangrove,0,NA,NA,Total Stock (MgC)
Namibia,marsh,113873.72488543091,83130.57991289833,144616.8698579635,Total Stock (MgC)
Namibia,seagrass,NA,NA,NA,Total Stock (MgC)
Iceland,mangrove,NA,NA,NA,Total Stock (MgC)
