territory,habitat,mid,lowerCI,upperCI,mid_point,variable
Uruguay,mangrove,0,0,0,NA,Area (hectare)
Uruguay,marsh,30830.087188483616,18674.124293629542,34852.923829946114,NA,Area (hectare)
Uruguay,seagrass,NA,NA,NA,NA,Area (hectare)
El Salvador,mangrove,33594.80797582847,29498.37415486561,38945.6205538768,NA,Area (hectare)
El Salvador,marsh,395.2587894104004,239.41261393372022,446.8337827336183,NA,Area (hectare)
El Salvador,seagrass,NA,NA,NA,NA,Area (hectare)
Croatia,mangrove,0,0,0,NA,Area (hectare)
Croatia,marsh,5435.881462294108,3292.573434895618,6145.177644023105,NA,Area (hectare)
Croatia,seagrass,NA,NA,NA,29966,Area (hectare)
Guatemala,mangrove,34562.32593733862,30347.916347537583,40067.23992539235,NA,Area (hectare)
Guatemala,marsh,1317.1343201917705,797.802804004206,1488.9994262682308,NA,Area (hectare)
Guatemala,seagrass,NA,NA,NA,481,Area (hectare)
Bahrain,mangrove,84.12919578515147,73.87077480555658,97.52887228612059,NA,Area (hectare)
Bahrain,marsh,0,0,0,NA,Area (hectare)
Bahrain,seagrass,NA,NA,NA,36598,Area (hectare)
American Samoa,mangrove,NA,NA,NA,NA,Area (hectare)
American Samoa,marsh,NA,NA,NA,NA,Area (hectare)
American Samoa,seagrass,NA,NA,NA,38114,Area (hectare)
Costa Rica,mangrove,38794.395821399805,34063.94237689896,44973.37268199942,NA,Area (hectare)
Costa Rica,marsh,1582.3950128504612,958.4741350529551,1788.872425646758,NA,Area (hectare)
Costa Rica,seagrass,NA,NA,NA,16,Area (hectare)
Kenya,mangrove,32027.00631160523,28121.744762456125,37128.107301159085,NA,Area (hectare)
Kenya,marsh,174.16964630126955,105.49647827211922,196.89601845480132,NA,Area (hectare)
Kenya,seagrass,NA,NA,NA,11322,Area (hectare)
Estonia,mangrove,0,0,0,NA,Area (hectare)
Estonia,marsh,29610.32685709311,17935.301990028223,33474.004151229696,NA,Area (hectare)
Estonia,seagrass,NA,NA,NA,15500,Area (hectare)
Saudi Arabia,mangrove,8104.606409818881,7116.358945310024,9395.467484214425,NA,Area (hectare)
Saudi Arabia,marsh,143.56556077854532,86.95924568337381,162.2985859179546,NA,Area (hectare)
Saudi Arabia,seagrass,NA,NA,NA,37000,Area (hectare)
United States Minor Outlying Islands,mangrove,NA,NA,NA,NA,Area (hectare)
United States Minor Outlying Islands,marsh,NA,NA,NA,NA,Area (hectare)
United States Minor Outlying Islands,seagrass,NA,NA,NA,48716,Area (hectare)
South Africa,mangrove,1352.777276690722,1187.8243294241956,1568.2408588199237,NA,Area (hectare)
South Africa,marsh,9865.9862668492,5975.936840529121,11153.340753257284,NA,Area (hectare)
South Africa,seagrass,NA,NA,NA,38103,Area (hectare)
Chile,mangrove,0,0,0,NA,Area (hectare)
Chile,marsh,49554.36096252689,30015.62370706763,56020.41789598822,NA,Area (hectare)
Chile,seagrass,NA,NA,NA,200,Area (hectare)
Pakistan,mangrove,50580.15436051102,44412.58658810407,58636.30775024249,NA,Area (hectare)
Pakistan,marsh,216.11527682291663,130.90340992129387,244.31488745223064,NA,Area (hectare)
Pakistan,seagrass,NA,NA,NA,NA,Area (hectare)
Marshall Islands,mangrove,1.184014306640625,1.0396397278748735,1.3725981690374627,NA,Area (hectare)
Marshall Islands,marsh,0,0,0,NA,Area (hectare)
Marshall Islands,seagrass,NA,NA,NA,51070,Area (hectare)
Germany,mangrove,0,0,0,NA,Area (hectare)
Germany,marsh,37660.448333696535,22811.34947292549,42574.53860416753,NA,Area (hectare)
Germany,seagrass,NA,NA,NA,16330,Area (hectare)
Solomon Islands,mangrove,46178.79586110952,40547.914407258206,53533.92293641637,NA,Area (hectare)
