depth	min	max	median	mean
0	-60	-60	-60	-60
1	-59	-58	-58	-58
2	-57	-56	-57	-57
3	-56	-54	-55	-55
4	-54	-52	-53	-53
5	-53	-51	-52	-52
6	-52	-49	-50	-50
7	-50	-47	-49	-49
8	-49	-45	-47	-47
9	-48	-43	-45	-45
10	-46	-42	-44	-44
11	-45	-40	-42	-42
12	-44	-38	-41	-41
13	-42	-36	-39	-39
14	-41	-35	-38	-38
15	-40	-33	-36	-36
16	-39	-31	-35	-35
17	-37	-29	-33	-33
18	-36	-28	-32	-32
19	-35	-26	-30	-30
20	-34	-24	-29	-29
21	-33	-22	-27	-28
22	-32	-21	-26	-26
23	-31	-19	-25	-25
24	-29	-17	-23	-23
25	-28	-15	-22	-22
26	-27	-14	-20	-20
27	-26	-12	-19	-19
28	-25	-10	-18	-18
29	-24	-9	-16	-16
30	-23	-7	-15	-15
31	-22	-5	-14	-14
32	-21	-4	-12	-12
33	-20	-2	-11	-11
34	-19	0	-10	-10
35	-19	1	-9	-9
36	-18	3	-7	-7
37	-17	4	-6	-6
38	-16	6	-5	-5
39	-15	8	-4	-4
40	-15	9	-3	-3
41	-14	11	-2	-2
42	-13	12	-1	-1
43	-13	14	0	1
44	-12	16	1	2
45	-11	17	2	3
46	-11	19	3	4
47	-10	20	4	5
48	-10	22	5	6
49	-9	24	6	7
50	-9	25	7	8
51	-8	27	8	9
52	-8	28	9	9
53	-7	30	10	10
54	-7	31	11	11
55	-6	33	11	12
56	-6	34	12	13
57	-6	36	13	14
58	-5	38	14	15
59	-5	39	15	15
60	-5	41	15	16
61	-5	42	16	17
62	-4	44	17	18
63	-4	45	17	18
64	-4	47	18	19
65	-4	48	18	20
66	-4	50	19	21
