labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,6,0.08,156.66666698,9.333333352,3
2,9,0.06,134.500000269,10.166666687,3
3,12,0.09,151.166666969,10.833333355,3
4,15,0.07,155.500000311,10.666666688,3
5,18,0.1,110.166666887,7.166666681,3
6,21,0.12,94.666666856,7.833333348999998,3
7,24,0.1,96.166666859,8.500000017,3
8,27,0.1,103.000000206,6.500000013,3
9,30,0.09,95.166666857,7.500000015,3
10,33,0.13,95.00000019,7.000000013999999,3
11,36,0.12,78.500000157,7.666666682,3
12,39,0.14,66.000000132,8.000000016,3
13,42,0.17,59.66666678599999,6.500000013,3
14,45,0.19,59.333333452,4.500000009,3
15,48,0.17,60.333333454,5.333333344,3
