depth	min	max	median	mean
0	-58	-58	-58	-58
1	-57	-53	-56	-56
2	-57	-48	-53	-53
3	-55	-43	-51	-50
4	-54	-38	-48	-47
5	-53	-32	-45	-44
6	-51	-27	-42	-41
7	-49	-22	-39	-38
8	-47	-16	-35	-34
9	-45	-11	-31	-30
10	-43	-4	-28	-27
11	-41	1	-24	-23
12	-39	7	-20	-19
13	-37	13	-17	-16
14	-35	18	-13	-12
15	-33	23	-10	-8
16	-31	28	-6	-4
17	-29	33	-2	0
18	-26	39	3	4
19	-24	44	7	8
20	-22	50	11	12
21	-19	55	15	16
22	-17	59	20	20
23	-14	65	24	25
24	-11	69	28	29
25	-9	75	33	33
26	-7	80	37	37
27	-4	85	41	42
28	-1	90	46	46
29	1	94	50	50
30	3	100	55	54
31	6	104	59	59
32	8	109	64	63
33	11	114	68	67
34	14	119	72	72
35	16	124	77	76
36	19	129	81	80
37	21	134	86	85
38	24	138	90	89
39	26	143	95	93
40	28	148	99	97
41	30	152	104	102
42	32	156	108	106
43	34	160	113	110
44	37	164	117	114
45	39	169	122	118
46	41	172	126	123
47	43	177	131	127
48	44	182	135	131
49	46	186	140	136
50	48	190	144	140
51	49	194	149	144
52	51	198	153	148
53	53	202	158	152
54	54	206	162	156
55	55	210	167	161
56	57	213	171	165
57	58	217	176	169
58	59	222	180	173
59	60	225	185	177
60	62	230	189	181
