depth	min	max	median	mean
0	-62	-62	-62	-62
1	-58	-57	-58	-58
2	-54	-52	-53	-53
3	-51	-49	-50	-50
4	-48	-46	-47	-47
5	-45	-43	-44	-44
6	-42	-39	-41	-41
7	-41	-37	-39	-39
8	-39	-35	-37	-37
9	-38	-34	-36	-36
10	-37	-32	-35	-35
11	-33	-28	-31	-31
12	-30	-24	-27	-27
13	-26	-20	-24	-24
14	-23	-16	-20	-20
15	-22	-14	-18	-18
16	-20	-12	-17	-17
17	-12	-3	-8	-8
18	-5	8	1	1
19	-1	13	5	5
20	2	19	10	10
21	5	23	13	13
22	8	28	16	16
23	14	38	23	24
24	19	50	31	32
25	32	71	49	49
26	43	97	66	67
27	46	104	71	72
28	48	113	75	76
29	50	118	78	79
30	51	124	81	82
31	53	129	84	85
32	54	135	87	89
33	57	140	90	92
34	58	145	93	96
35	61	151	97	100
36	63	158	101	103
37	67	165	107	109
38	71	171	113	115
39	74	178	118	120
40	77	185	123	125
41	81	190	128	130
42	84	197	133	135
