labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.36,297.68,7.44,2,34.54,3.27
2,4,0.3,207.8,6.78,2,34.21,3.19
3,6,0.3,194.63,5.69,2,37.11,3.08
4,8,0.27,109.14,5.38,2,35.77,3.18
5,10,0.21,105.21,4.99,2,26.23,3.61
6,12,0.24,185.3,5.89,2,36.38,3.32
7,14,0.25,146.87,5.48,2,31.45,3.58
8,16,0.22,77.82,5.07,2,31.97,4.19
9,18,0.5,123.2,5.8,2,49.07,3.41
10,20,0.4,71,4.54,2,35.49,3.59
11,22,0.45,52.19,4.6,2,41.43,3.45
12,24,0.43,67.57,4.66,2,54.25,3.38
13,26,0.44,72.62,5.87,2,42.42,3.34
14,28,0.26,40.82,4.38,2,47.67,4.05
15,30,0.24,32.44,4.46,2,33.42,4.3
16,32,0.23,34.03,4.16,2,39.43,4.3
17,34,0.22,35.77,5.52,2,43.67,5.31
18,36,0.22,38.56,4.09,2,31.86,3.77
19,38,0.26,47.05,4.56,2,31.21,4.46
20,40,0.24,37.53,3.96,2,33.22,3.59
21,42,0.29,28.68,4.01,2,35.51,3.56
