state,estimated_area_ha,percent_wetland
AL,16881.94298107369,0.5600055506637165
CA,57846.522124912844,1.9188770814390226
CT,8037.118346332866,0.266606212942045
DC,82.09204914398396,0.0027231464552112702
DE,36431.070889270006,1.208486602370754
FL,656413.1101981534,21.774447742864055
GA,189336.02736473925,6.280629331809758
LA,948837.4806564497,31.474709779620074
MA,27762.100707792823,0.9209206850111211
MD,110781.39468804511,3.6748255816954303
ME,31292.581667654,1.0380333263848858
MS,32357.07796118739,1.073344654808869
NC,132724.29313769797,4.4027124690775326
NH,2948.7650626158115,0.0978160395707646
NJ,96074.10782664348,3.1869574324650958
NY,23368.451717687993,0.7751751493885236
OR,18086.613689203154,0.5999667259875999
PA,643.3429190819858,0.021340885114350547
RI,3418.380306333136,0.1133940535145879
SC,218312.47611731777,7.241832207459718
TX,247156.20647798709,8.198632566395363
VA,117025.71311926054,3.8819612760590894
WA,38785.92474323137,1.286601498902429
