depth	min	max	median	mean
0	-66	-66	-66	-66
1	-65	-64	-65	-65
2	-65	-63	-64	-64
3	-63	-61	-62	-62
4	-61	-59	-60	-60
5	-59	-57	-58	-58
6	-58	-56	-57	-57
7	-55	-53	-54	-54
8	-53	-51	-52	-52
9	-52	-49	-50	-50
10	-50	-47	-49	-49
11	-48	-46	-47	-47
12	-47	-44	-45	-45
13	-45	-42	-43	-43
14	-43	-40	-42	-42
15	-41	-38	-39	-39
16	-39	-35	-37	-37
17	-36	-33	-35	-35
18	-35	-31	-33	-33
19	-32	-29	-31	-31
20	-30	-26	-28	-28
21	-28	-24	-26	-26
22	-26	-22	-24	-24
23	-24	-19	-21	-21
24	-21	-16	-18	-18
25	-18	-13	-16	-16
26	-16	-11	-14	-14
27	-14	-8	-11	-11
28	-12	-5	-8	-8
29	-9	-1	-5	-5
30	-6	2	-2	-2
31	-3	6	1	1
32	1	10	5	5
33	4	14	9	9
34	7	18	12	12
35	11	23	17	17
36	16	30	22	23
37	20	35	27	27
38	24	41	32	32
39	29	48	38	38
40	33	55	43	43
41	38	62	48	49
42	43	71	55	56
43	49	80	62	63
44	53	88	68	69
45	58	96	74	75
46	63	105	81	82
47	67	111	86	87
48	70	118	91	91
49	74	124	95	96
50	78	130	100	101
51	81	136	105	106
52	85	143	110	111
53	88	149	115	116
54	92	156	120	121
55	97	161	125	126
56	101	168	131	131
57	106	174	136	137
58	110	180	141	142
59	114	186	146	147
60	118	192	151	152
61	122	197	155	157
62	126	204	160	162
63	130	209	165	167
64	134	216	170	172
65	138	222	175	177
66	141	229	180	182
