depth	min	max	median	mean
0	-63	-63	-63	-63
1	-62	-59	-61	-61
2	-61	-56	-59	-59
3	-59	-52	-56	-56
4	-57	-48	-53	-53
5	-55	-43	-50	-50
6	-53	-38	-47	-46
7	-50	-33	-43	-43
8	-48	-27	-40	-39
9	-46	-21	-36	-35
10	-43	-15	-32	-31
11	-41	-8	-27	-27
12	-38	-1	-23	-22
13	-36	7	-18	-17
14	-33	14	-14	-13
15	-31	21	-9	-8
16	-28	29	-4	-3
17	-25	36	2	3
18	-23	45	7	8
19	-20	51	12	14
20	-18	59	18	19
21	-16	66	23	24
22	-13	73	28	29
23	-11	79	34	34
24	-9	86	39	39
25	-7	93	44	44
26	-5	99	49	49
27	-3	105	54	54
28	-1	113	59	59
29	1	119	64	64
30	3	126	69	69
31	5	132	74	74
32	6	138	78	78
33	7	145	83	83
34	9	151	88	88
35	11	158	93	93
36	12	165	98	97
37	14	173	103	102
38	15	181	108	107
