depth	min	max	median	mean
0	-63	-63	-63	-63
1	-62	-61	-61	-61
2	-61	-59	-60	-60
3	-59	-56	-58	-58
4	-58	-54	-56	-56
5	-56	-51	-54	-54
6	-54	-49	-51	-51
7	-51	-46	-49	-49
8	-49	-42	-46	-46
9	-46	-39	-43	-43
10	-44	-36	-40	-40
11	-41	-32	-37	-37
12	-38	-28	-33	-33
13	-35	-24	-30	-30
14	-31	-20	-26	-26
15	-28	-15	-22	-22
16	-24	-10	-18	-17
17	-20	-4	-13	-12
18	-16	3	-8	-7
19	-11	10	-2	-2
20	-7	16	3	4
21	-1	24	10	10
22	5	32	17	17
23	11	39	23	24
24	16	47	30	30
25	21	56	36	37
26	26	65	43	43
27	32	71	49	50
28	37	79	55	56
29	42	85	61	61
30	47	92	66	67
31	51	98	71	72
32	54	105	76	77
33	58	111	81	82
34	62	118	86	87
35	66	123	91	92
36	70	129	96	97
37	74	134	101	102
38	78	140	106	107
39	81	146	111	112
40	85	151	116	117
41	89	156	121	121
42	93	161	126	126
43	96	166	130	130
44	99	171	134	135
45	103	176	139	139
46	107	181	143	143
47	111	185	148	148
48	114	190	152	152
49	118	195	157	157
50	121	199	161	161
51	125	203	166	166
52	129	207	170	170
53	132	212	175	174
54	136	216	179	179
55	140	220	184	183
56	144	224	188	187
57	148	228	193	191
58	151	232	198	196
59	155	236	202	200
60	159	240	206	204
61	163	243	211	209
62	166	247	215	213
63	169	250	220	217
64	173	253	224	221
65	176	256	229	225
66	179	261	233	230
