depth	min	max	median	mean
0	-64	-64	-64	-64
1	-53	-45	-49	-49
2	-43	-26	-36	-35
3	-38	-14	-28	-27
4	-33	-1	-21	-20
5	-32	3	-18	-17
6	-31	8	-16	-15
7	-29	13	-13	-12
8	-28	17	-11	-10
9	-26	21	-9	-7
10	-25	26	-6	-4
11	-22	31	-2	0
12	-20	37	2	4
13	-16	43	6	8
14	-13	49	11	13
15	-8	56	17	19
16	-5	62	22	23
17	-1	68	27	28
18	3	74	32	34
19	6	80	37	38
20	9	85	41	43
21	14	91	47	48
22	18	97	52	54
23	23	103	57	59
24	26	108	63	64
25	31	114	68	69
26	35	120	72	74
27	40	125	78	79
28	44	131	83	84
29	48	137	88	89
