iteration,logOdds,memory,depth_code,accretion
1,-58.9933,0.47660400000000003,accRate[2],1.81214
1,-58.9933,0.47660400000000003,accRate[4],2.91372
1,-58.9933,0.47660400000000003,accRate[6],4.29323
1,-58.9933,0.47660400000000003,accRate[8],4.94009
1,-58.9933,0.47660400000000003,accRate[10],4.38192
1,-58.9933,0.47660400000000003,accRate[12],5.6338
1,-58.9933,0.47660400000000003,accRate[14],4.98825
1,-58.9933,0.47660400000000003,accRate[16],8.28996
2,-59.0013,0.707365,accRate[2],4.34727
2,-59.0013,0.707365,accRate[4],3.99965
2,-59.0013,0.707365,accRate[6],5.27282
2,-59.0013,0.707365,accRate[8],6.39305
2,-59.0013,0.707365,accRate[10],6.29342
2,-59.0013,0.707365,accRate[12],8.67532
2,-59.0013,0.707365,accRate[14],7.31332
2,-59.0013,0.707365,accRate[16],8.11954
3,-58.9949,0.497813,accRate[2],5.27711
3,-58.9949,0.497813,accRate[4],3.72538
3,-58.9949,0.497813,accRate[6],3.51827
3,-58.9949,0.497813,accRate[8],4.39345
3,-58.9949,0.497813,accRate[10],6.55244
3,-58.9949,0.497813,accRate[12],8.16977
3,-58.9949,0.497813,accRate[14],1.98981
3,-58.9949,0.497813,accRate[16],2.25021
4,-58.9861,0.363599,accRate[2],4.88026
4,-58.9861,0.363599,accRate[4],3.06951
4,-58.9861,0.363599,accRate[6],5.77668
4,-58.9861,0.363599,accRate[8],8.97156
4,-58.9861,0.363599,accRate[10],9.79336
4,-58.9861,0.363599,accRate[12],6.99791
4,-58.9861,0.363599,accRate[14],5.79742
4,-58.9861,0.363599,accRate[16],2.11033
5,-59.0113,0.631471,accRate[2],3.37882
5,-59.0113,0.631471,accRate[4],4.94012
5,-59.0113,0.631471,accRate[6],6.3902
5,-59.0113,0.631471,accRate[8],9.07837
5,-59.0113,0.631471,accRate[10],10.3436
5,-59.0113,0.631471,accRate[12],8.90973
5,-59.0113,0.631471,accRate[14],2.70038
5,-59.0113,0.631471,accRate[16],2.67625
6,-59.0111,0.656984,accRate[2],6.38058
6,-59.0111,0.656984,accRate[4],3.99872
6,-59.0111,0.656984,accRate[6],2.69048
6,-59.0111,0.656984,accRate[8],3.23183
6,-59.0111,0.656984,accRate[10],3.54575
6,-59.0111,0.656984,accRate[12],4.36688
6,-59.0111,0.656984,accRate[14],2.55589
6,-59.0111,0.656984,accRate[16],3.36869
7,-58.988,0.497628,accRate[2],2.75705
7,-58.988,0.497628,accRate[4],4.55564
7,-58.988,0.497628,accRate[6],3.18133
7,-58.988,0.497628,accRate[8],2.93285
7,-58.988,0.497628,accRate[10],4.02599
7,-58.988,0.497628,accRate[12],3.51909
7,-58.988,0.497628,accRate[14],3.17434
7,-58.988,0.497628,accRate[16],4.54437
8,-59.009,0.0098251,accRate[2],5.53902
8,-59.009,0.0098251,accRate[4],13.1417
8,-59.009,0.0098251,accRate[6],2.17364
8,-59.009,0.0098251,accRate[8],1.60402
8,-59.009,0.0098251,accRate[10],5.53116
8,-59.009,0.0098251,accRate[12],5.22976
8,-59.009,0.0098251,accRate[14],6.33884
8,-59.009,0.0098251,accRate[16],3.12768
9,-59.0091,0.670083,accRate[2],4.74244
9,-59.0091,0.670083,accRate[4],5.6029
9,-59.0091,0.670083,accRate[6],4.61084
9,-59.0091,0.670083,accRate[8],2.8109
9,-59.0091,0.670083,accRate[10],2.84606
9,-59.0091,0.670083,accRate[12],2.52649
9,-59.0091,0.670083,accRate[14],1.57652
9,-59.0091,0.670083,accRate[16],2.24633
10,-58.9949,0.683178,accRate[2],4.43546
10,-58.9949,0.683178,accRate[4],5.40817
10,-58.9949,0.683178,accRate[6],4.28908
10,-58.9949,0.683178,accRate[8],4.31825
10,-58.9949,0.683178,accRate[10],4.22502
10,-58.9949,0.683178,accRate[12],5.80902
10,-58.9949,0.683178,accRate[14],3.07102
10,-58.9949,0.683178,accRate[16],4.1037
11,-59.0065,0.222229,accRate[2],2.68684
11,-59.0065,0.222229,accRate[4],3.00588
11,-59.0065,0.222229,accRate[6],6.31992
11,-59.0065,0.222229,accRate[8],1.90628
11,-59.0065,0.222229,accRate[10],3.41581
11,-59.0065,0.222229,accRate[12],3.45111
11,-59.0065,0.222229,accRate[14],2.19548
11,-59.0065,0.222229,accRate[16],0.601551
12,-58.9982,0.830307,accRate[2],4.9438
12,-58.9982,0.830307,accRate[4],5.37815
12,-58.9982,0.830307,accRate[6],5.45007
12,-58.9982,0.830307,accRate[8],6.33398
12,-58.9982,0.830307,accRate[10],6.23163
12,-58.9982,0.830307,accRate[12],6.34125
12,-58.9982,0.830307,accRate[14],5.64697
12,-58.9982,0.830307,accRate[16],6.27639
13,-58.9967,0.721799,accRate[2],4.21617
13,-58.9967,0.721799,accRate[4],5.36818
13,-58.9967,0.721799,accRate[6],4.55187
13,-58.9967,0.721799,accRate[8],4.66606
13,-58.9967,0.721799,accRate[10],5.87052
13,-58.9967,0.721799,accRate[12],5.17174
13,-58.9967,0.721799,accRate[14],1.39854
13,-58.9967,0.721799,accRate[16],0.681479
14,-58.9872,0.743363,accRate[2],6.87161
14,-58.9872,0.743363,accRate[4],4.51948
14,-58.9872,0.743363,accRate[6],4.46891
14,-58.9872,0.743363,accRate[8],4.00117
14,-58.9872,0.743363,accRate[10],4.16531
14,-58.9872,0.743363,accRate[12],3.77331
14,-58.9872,0.743363,accRate[14],4.18804
14,-58.9872,0.743363,accRate[16],1.7281
15,-59.0048,0.229773,accRate[2],1.27989
15,-59.0048,0.229773,accRate[4],4.30575
15,-59.0048,0.229773,accRate[6],4.33327
15,-59.0048,0.229773,accRate[8],4.23111
15,-59.0048,0.229773,accRate[10],1.3257
15,-59.0048,0.229773,accRate[12],1.04515
15,-59.0048,0.229773,accRate[14],1.77766
15,-59.0048,0.229773,accRate[16],0.405323
16,-59.0065,0.661681,accRate[2],3.55859
16,-59.0065,0.661681,accRate[4],3.86684
16,-59.0065,0.661681,accRate[6],2.84134
16,-59.0065,0.661681,accRate[8],3.72217
16,-59.0065,0.661681,accRate[10],5.27704
16,-59.0065,0.661681,accRate[12],5.55175
16,-59.0065,0.661681,accRate[14],4.87483
16,-59.0065,0.661681,accRate[16],6.71114
17,-58.9877,0.619313,accRate[2],3.19936
17,-58.9877,0.619313,accRate[4],3.46063
17,-58.9877,0.619313,accRate[6],4.75463
17,-58.9877,0.619313,accRate[8],2.43787
17,-58.9877,0.619313,accRate[10],3.7767
17,-58.9877,0.619313,accRate[12],4.28961
17,-58.9877,0.619313,accRate[14],5.86363
17,-58.9877,0.619313,accRate[16],7.27316
18,-59.0057,0.245695,accRate[2],5.25105
18,-59.0057,0.245695,accRate[4],4.23977
18,-59.0057,0.245695,accRate[6],5.89036
18,-59.0057,0.245695,accRate[8],3.47681
18,-59.0057,0.245695,accRate[10],12.2347
18,-59.0057,0.245695,accRate[12],5.4704
18,-59.0057,0.245695,accRate[14],1.50925
18,-59.0057,0.245695,accRate[16],2.16269
19,-59.0129,0.936384,accRate[2],2.3147
19,-59.0129,0.936384,accRate[4],1.95619
19,-59.0129,0.936384,accRate[6],1.62539
19,-59.0129,0.936384,accRate[8],1.64777
19,-59.0129,0.936384,accRate[10],1.71644
19,-59.0129,0.936384,accRate[12],1.53239
19,-59.0129,0.936384,accRate[14],1.60854
19,-59.0129,0.936384,accRate[16],1.48154
20,-59.0051,0.0800585,accRate[2],3.75201
20,-59.0051,0.0800585,accRate[4],2.63896
20,-59.0051,0.0800585,accRate[6],1.90156
20,-59.0051,0.0800585,accRate[8],3.24696
20,-59.0051,0.0800585,accRate[10],6.03786
20,-59.0051,0.0800585,accRate[12],9.18965
20,-59.0051,0.0800585,accRate[14],1.7437
20,-59.0051,0.0800585,accRate[16],2.73255
21,-59.018,0.373409,accRate[2],4.0231
21,-59.018,0.373409,accRate[4],1.96978
21,-59.018,0.373409,accRate[6],1.92837
21,-59.018,0.373409,accRate[8],2.16564
21,-59.018,0.373409,accRate[10],2.31196
21,-59.018,0.373409,accRate[12],4.10731
21,-59.018,0.373409,accRate[14],4.13644
21,-59.018,0.373409,accRate[16],1.74966
22,-59.0048,0.410455,accRate[2],2.02199
22,-59.0048,0.410455,accRate[4],3.95935
22,-59.0048,0.410455,accRate[6],2.72956
22,-59.0048,0.410455,accRate[8],4.12417
22,-59.0048,0.410455,accRate[10],2.0622
22,-59.0048,0.410455,accRate[12],1.35834
22,-59.0048,0.410455,accRate[14],2.4992
22,-59.0048,0.410455,accRate[16],0.115487
23,-58.9992,0.140505,accRate[2],7.48046
23,-58.9992,0.140505,accRate[4],7.68877
23,-58.9992,0.140505,accRate[6],2.33789
23,-58.9992,0.140505,accRate[8],3.18377
23,-58.9992,0.140505,accRate[10],1.33593
23,-58.9992,0.140505,accRate[12],1.79546
23,-58.9992,0.140505,accRate[14],3.15985
23,-58.9992,0.140505,accRate[16],2.08336
24,-58.9969,0.837789,accRate[2],4.14237
24,-58.9969,0.837789,accRate[4],3.45932
24,-58.9969,0.837789,accRate[6],3.60956
24,-58.9969,0.837789,accRate[8],4.30155
24,-58.9969,0.837789,accRate[10],5.03095
24,-58.9969,0.837789,accRate[12],5.44791
24,-58.9969,0.837789,accRate[14],6.15643
24,-58.9969,0.837789,accRate[16],6.67825
25,-59.0015,0.104213,accRate[2],1.7507
25,-59.0015,0.104213,accRate[4],2.0236
25,-59.0015,0.104213,accRate[6],4.82333
25,-59.0015,0.104213,accRate[8],7.62083
25,-59.0015,0.104213,accRate[10],6.91519
25,-59.0015,0.104213,accRate[12],2.75017
25,-59.0015,0.104213,accRate[14],8.26345
25,-59.0015,0.104213,accRate[16],11.6333
26,-58.9857,0.823906,accRate[2],7.9833
26,-58.9857,0.823906,accRate[4],7.54134
26,-58.9857,0.823906,accRate[6],8.56048
26,-58.9857,0.823906,accRate[8],10.005
26,-58.9857,0.823906,accRate[10],10.9437
26,-58.9857,0.823906,accRate[12],12.4114
26,-58.9857,0.823906,accRate[14],14.3326
26,-58.9857,0.823906,accRate[16],16.4365
27,-59.0143,0.878326,accRate[2],7.64259
27,-59.0143,0.878326,accRate[4],8.25801
27,-59.0143,0.878326,accRate[6],8.95931
27,-59.0143,0.878326,accRate[8],7.91457
27,-59.0143,0.878326,accRate[10],7.9194
27,-59.0143,0.878326,accRate[12],8.27882
27,-59.0143,0.878326,accRate[14],7.93157
27,-59.0143,0.878326,accRate[16],8.65832
28,-58.9851,0.179452,accRate[2],1.63714
28,-58.9851,0.179452,accRate[4],2.69334
28,-58.9851,0.179452,accRate[6],2.68085
28,-58.9851,0.179452,accRate[8],4.43655
28,-58.9851,0.179452,accRate[10],6.97334
28,-58.9851,0.179452,accRate[12],8.21549
28,-58.9851,0.179452,accRate[14],3.90512
28,-58.9851,0.179452,accRate[16],6.28471
29,-58.9839,0.414009,accRate[2],5.38175
29,-58.9839,0.414009,accRate[4],2.05374
29,-58.9839,0.414009,accRate[6],2.70115
29,-58.9839,0.414009,accRate[8],3.54595
29,-58.9839,0.414009,accRate[10],2.83106
29,-58.9839,0.414009,accRate[12],5.69686
29,-58.9839,0.414009,accRate[14],11.629
29,-58.9839,0.414009,accRate[16],11.3093
30,-58.9825,0.183895,accRate[2],4.27897
30,-58.9825,0.183895,accRate[4],5.17321
30,-58.9825,0.183895,accRate[6],8.93598
30,-58.9825,0.183895,accRate[8],1.08305
30,-58.9825,0.183895,accRate[10],2.56908
30,-58.9825,0.183895,accRate[12],6.68307
30,-58.9825,0.183895,accRate[14],4.24842
30,-58.9825,0.183895,accRate[16],11.5571
31,-58.9857,0.424762,accRate[2],5.09349
31,-58.9857,0.424762,accRate[4],3.15812
31,-58.9857,0.424762,accRate[6],4.77235
31,-58.9857,0.424762,accRate[8],6.70709
31,-58.9857,0.424762,accRate[10],1.65908
31,-58.9857,0.424762,accRate[12],1.50762
31,-58.9857,0.424762,accRate[14],1.82619
31,-58.9857,0.424762,accRate[16],0.746028
32,-59.0057,0.125099,accRate[2],2.48731
32,-59.0057,0.125099,accRate[4],2.33774
32,-59.0057,0.125099,accRate[6],4.32988
32,-59.0057,0.125099,accRate[8],2.08103
32,-59.0057,0.125099,accRate[10],3.17429
32,-59.0057,0.125099,accRate[12],1.91157
32,-59.0057,0.125099,accRate[14],5.09291
32,-59.0057,0.125099,accRate[16],1.28675
33,-59.0053,0.508322,accRate[2],2.22968
