depth	min	max	median	mean
0	-60	-60	-60	-60
1	-58	-57	-57	-57
2	-56	-53	-54	-54
3	-54	-50	-52	-52
4	-53	-45	-50	-50
5	-52	-44	-49	-49
6	-50	-42	-47	-47
7	-48	-40	-45	-45
8	-47	-37	-43	-43
9	-45	-34	-40	-40
10	-42	-31	-38	-37
11	-40	-28	-35	-35
12	-38	-25	-32	-32
13	-36	-22	-29	-29
14	-33	-18	-26	-26
15	-30	-16	-24	-23
16	-28	-13	-21	-21
17	-25	-9	-18	-18
18	-23	-6	-16	-15
19	-21	-4	-13	-13
20	-19	0	-11	-10
21	-17	3	-8	-8
22	-15	5	-6	-6
23	-13	8	-4	-3
24	-10	12	-1	-1
25	-8	16	2	3
26	-5	21	6	6
27	0	27	11	12
28	3	33	16	17
29	9	44	24	25
30	15	57	32	33
31	21	64	39	40
32	26	74	46	47
33	29	81	51	52
34	32	89	55	56
35	36	96	60	61
36	39	103	65	66
37	42	109	69	71
38	45	116	73	75
39	48	122	78	80
40	52	129	83	85
41	56	135	89	91
42	60	142	95	97
43	65	148	101	102
44	69	155	106	108
45	72	161	112	113
46	75	167	116	118
47	79	173	121	123
48	83	180	126	128
49	86	186	131	132
50	89	193	136	137
51	93	198	140	142
52	97	203	145	147
53	101	210	150	152
54	104	216	155	156
55	108	221	160	161
56	111	226	165	166
57	115	233	170	171
58	119	240	175	176
