depth	min	max	median	mean
0	-61	-61	-61	-61
1	-60	-59	-59	-59
2	-59	-57	-58	-58
3	-57	-53	-56	-56
4	-56	-48	-54	-53
5	-54	-45	-51	-51
6	-52	-42	-48	-48
7	-49	-38	-45	-45
8	-47	-33	-42	-41
9	-43	-28	-37	-37
10	-40	-22	-33	-32
11	-35	-18	-28	-28
12	-32	-12	-23	-23
13	-25	-1	-15	-14
14	-19	11	-6	-6
15	-13	16	0	1
16	-8	24	7	7
17	-3	37	15	15
18	1	50	23	23
19	7	56	28	29
20	12	64	34	35
21	14	71	37	38
22	15	77	40	42
23	19	82	44	46
24	23	89	49	51
25	27	95	55	57
26	32	104	62	64
27	37	110	67	69
28	41	118	73	75
29	43	125	77	79
30	45	132	81	83
31	49	138	85	88
32	52	144	90	92
33	54	150	94	97
34	57	157	98	101
35	60	163	103	106
36	64	170	108	110
37	68	176	114	116
38	72	183	119	121
39	77	191	124	126
40	80	197	129	131
41	85	202	134	136
42	88	209	139	141
