depth	min	max	median	mean
0	-61	-61	-61	-61
1	-59	-57	-58	-58
2	-57	-53	-55	-55
3	-55	-49	-53	-52
4	-54	-42	-50	-49
5	-52	-40	-48	-47
6	-50	-37	-45	-45
7	-47	-33	-42	-42
8	-45	-29	-39	-38
9	-41	-21	-34	-33
10	-37	-13	-29	-28
11	-33	-8	-23	-23
12	-29	-2	-18	-17
13	-24	9	-11	-10
14	-20	20	-5	-3
15	-14	27	2	3
16	-10	34	8	9
17	-5	43	15	16
18	-1	53	21	22
19	4	60	27	28
20	8	69	33	34
21	11	77	38	39
22	15	84	43	45
23	18	91	49	50
24	21	98	54	55
25	25	104	59	61
26	28	112	64	66
27	32	118	69	71
28	36	126	75	76
29	39	132	80	81
30	42	138	84	86
31	47	144	89	91
32	50	151	94	96
33	54	157	99	101
34	58	163	104	106
35	62	170	109	111
36	65	176	114	116
37	69	183	119	121
38	73	190	124	126
39	76	195	129	131
40	80	202	134	136
41	83	207	139	141
42	87	216	144	146
