depth	min	max	median	mean
0	-65	-65	-65	-65
1	-64	-63	-63	-63
2	-63	-61	-62	-62
3	-62	-60	-60	-60
4	-61	-58	-58	-59
5	-59	-56	-57	-57
6	-58	-54	-55	-55
7	-57	-53	-53	-54
8	-55	-51	-52	-52
9	-54	-49	-50	-51
10	-53	-47	-49	-49
11	-51	-46	-47	-47
12	-50	-44	-45	-46
13	-48	-42	-44	-44
14	-46	-40	-42	-42
15	-45	-39	-40	-41
16	-43	-37	-39	-39
17	-41	-35	-37	-37
18	-39	-34	-35	-36
19	-38	-32	-34	-34
20	-36	-30	-32	-32
21	-34	-28	-30	-31
22	-32	-27	-29	-29
23	-30	-25	-27	-27
24	-29	-23	-25	-26
25	-27	-21	-24	-24
26	-26	-19	-22	-22
27	-24	-17	-20	-20
28	-23	-15	-19	-19
29	-21	-13	-17	-17
30	-20	-11	-15	-15
31	-18	-8	-14	-13
32	-17	-5	-12	-12
33	-15	-2	-10	-10
34	-14	2	-9	-8
35	-12	5	-7	-6
36	-11	8	-5	-4
37	-10	11	-4	-2
38	-8	15	-2	0
39	-7	18	-1	2
40	-5	22	1	4
41	-4	27	2	6
42	-3	31	4	8
43	-1	36	6	10
44	0	42	7	12
45	1	47	9	15
46	2	53	10	17
47	4	58	12	19
48	5	65	13	22
49	6	71	15	24
50	7	77	17	27
51	9	83	18	29
52	10	88	20	32
53	11	94	21	34
54	12	100	23	36
55	13	106	24	39
56	14	112	26	41
57	15	118	28	44
58	17	126	29	46
