labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2.5,0.10231,83.858000167716,45.31718718629439,2.5
2,5,0.17384,95.850333525034,51.79789045213789,2.5
3,7.5,0.18126,97.607166861881,52.7472899730159,2.5
4,10,0.16388,90.187000180374,48.737403238454675,2.5
5,15,0.18297,93.531000187062,50.544513758035016,5
6,20,0.28702,91.91500018383,49.67122111460145,5
7,25,0.26148,74.65083348263501,40.341598747639246,5
8,35,0.41414,55.30750011061499,29.88838668112734,5
9,60,0.4193,45.514833424363,24.596391780386583,10
