labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.331919403,39.80171882720171,21.509002585575065,2
2,4,0.378718029,27.00921748773239,14.59588545158412,2
3,6,0.368928232,28.982059566901427,15.66201693113162,2
4,8,0.268568662,47.104253944285574,25.45532076837834,2
5,10,0.33472053,33.105405615417375,17.890289061885365,2
6,12,0.29986206,28.220727694673933,15.250590246788772,2
7,14,0.28729943,27.523762276328917,14.87394744273494,2
8,16,0.22409016,27.401155032594183,14.807690014658789,2
9,18,0.208386872,31.24525034597824,16.88505396956083,2
10,20,0.21636584,25.58711281824996,13.827374595415993,2
11,22,0.26090093,31.989502998856004,17.28725097779979,2
12,24,0.322554018,27.555292010427344,14.890986232823126,2
13,26,0.358459374,35.68112665821701,19.282218661956673,2
