depth	min	max	median	mean
0	-60	-60	-60	-60
1	-59	-56	-58	-58
2	-57	-50	-54	-54
3	-56	-43	-50	-51
4	-55	-38	-47	-48
5	-54	-34	-44	-46
6	-52	-30	-42	-43
7	-51	-27	-40	-41
8	-50	-24	-38	-39
9	-49	-22	-36	-37
10	-47	-19	-35	-36
11	-46	-17	-33	-34
12	-45	-15	-32	-33
13	-44	-12	-30	-31
14	-43	-10	-29	-29
15	-42	-7	-27	-28
16	-41	-5	-25	-26
17	-39	-3	-24	-25
18	-38	-1	-22	-23
19	-37	2	-20	-21
20	-36	5	-19	-20
21	-35	7	-16	-18
22	-34	10	-14	-16
23	-33	13	-12	-14
24	-32	15	-10	-12
25	-31	18	-8	-11
26	-30	20	-6	-9
27	-29	23	-4	-7
28	-28	25	-2	-6
29	-27	28	0	-4
30	-27	31	2	-3
31	-26	33	3	-1
32	-25	35	5	0
33	-24	37	6	2
34	-23	40	8	3
35	-22	42	10	5
36	-22	44	12	6
37	-21	47	14	8
38	-20	49	16	9
39	-19	52	17	11
40	-19	54	19	12
41	-18	56	21	14
42	-17	59	23	15
43	-17	61	25	17
44	-16	64	27	18
45	-16	67	30	20
46	-15	70	32	22
47	-15	73	34	23
48	-15	75	36	25
49	-14	78	39	26
50	-14	81	41	28
51	-14	84	43	30
52	-14	87	45	31
53	-13	90	47	33
54	-13	93	50	34
