depth	min	max	median	mean
0	-66	-66	-66	-66
1	-66	-62	-64	-64
2	-66	-58	-62	-62
3	-65	-54	-59	-60
4	-65	-51	-57	-58
5	-65	-47	-55	-56
6	-65	-43	-53	-54
7	-65	-39	-51	-52
8	-64	-36	-49	-50
9	-64	-32	-47	-48
10	-64	-29	-45	-46
11	-64	-25	-43	-44
12	-64	-22	-41	-42
13	-64	-18	-39	-40
14	-63	-15	-37	-38
15	-63	-12	-35	-36
16	-63	-8	-34	-35
17	-63	-5	-32	-33
18	-63	-2	-30	-31
19	-63	1	-28	-29
20	-63	4	-26	-28
21	-62	7	-25	-26
22	-62	10	-23	-24
23	-62	13	-21	-23
24	-62	16	-20	-21
25	-62	18	-18	-20
26	-62	21	-16	-18
27	-62	24	-15	-17
28	-61	27	-13	-15
29	-61	30	-12	-14
30	-61	32	-10	-12
31	-61	35	-9	-11
32	-61	37	-8	-9
33	-61	40	-6	-8
34	-61	42	-5	-7
35	-61	44	-4	-5
36	-60	47	-2	-4
37	-60	49	-1	-3
38	-60	51	0	-2
39	-60	53	1	-1
40	-60	55	2	0
41	-60	56	4	1
42	-60	58	5	2
43	-60	60	6	3
44	-60	62	7	4
45	-60	64	8	5
46	-60	65	9	6
