depth	min	max	median	mean
0	-66	-66	-66	-66
1	-66	-64	-65	-65
2	-61	-55	-59	-58
3	-61	-53	-57	-57
4	-58	-48	-54	-54
5	-58	-46	-53	-53
6	-57	-43	-51	-51
7	-55	-40	-49	-49
8	-52	-33	-45	-44
9	-47	-21	-37	-36
10	-46	-17	-34	-33
11	-43	-8	-28	-28
12	-39	0	-23	-22
13	-37	5	-20	-19
14	-36	9	-17	-16
15	-34	13	-14	-13
16	-25	19	-6	-5
17	-18	26	3	3
18	-14	31	8	8
19	-10	37	13	13
20	-5	43	17	18
21	-1	48	22	22
22	3	53	27	27
23	7	58	32	32
24	12	63	37	37
25	16	68	41	42
26	20	73	46	46
27	24	78	51	51
28	28	83	56	56
29	32	88	61	61
30	37	93	65	65
31	40	97	70	70
32	45	102	75	74
33	49	106	79	79
34	53	111	84	83
35	57	115	89	88
36	62	120	93	92
37	65	124	98	97
38	69	129	103	102
39	74	133	107	106
40	78	138	112	111
41	83	142	116	115
42	87	146	121	120
43	91	150	126	124
44	95	154	131	129
45	100	158	135	134
46	104	162	140	138
