depth	min	max	median	mean
0	-59	-59	-59	-59
1	-58	-51	-55	-55
2	-56	-43	-52	-51
3	-54	-37	-47	-47
4	-52	-29	-43	-43
5	-50	-22	-39	-38
6	-47	-14	-35	-34
7	-45	-8	-31	-30
8	-43	0	-27	-25
9	-40	7	-22	-21
10	-38	14	-18	-16
11	-35	21	-13	-11
12	-33	29	-8	-7
13	-31	35	-3	-2
14	-29	43	1	3
15	-27	50	6	8
16	-25	58	11	12
17	-23	66	16	17
18	-21	74	20	22
19	-19	82	25	27
20	-18	91	30	32
