labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.44,166.83333366699998,6.000000011999999,2,10.666666688,1.5000000029999998
2,4,0.29,259.50000051899997,6.66666668,2,9.500000019,1.166666669
3,6,0.33,263.666667194,8.500000017,2,9.833333353,1.833333337
4,8,0.27,230.666667128,8.500000017,2,10.666666688,1.66666667
5,10,0.19,163.33333366,6.333333346,2,12.500000025,1.5000000029999998
6,12,0.29,148.33333363,6.000000011999999,2,12.500000025,1.833333337
7,14,0.3,101.500000203,3.5000000069999997,2,10.833333355,1.166666669
8,16,0.37,53.33333344,3.166666673,2,9.333333352,1.166666669
9,18,0.28,37.000000074,5.333333344,2,13.666666694,2.5000000049999995
10,20,0.72,24.500000049,1.833333337,2,11.500000023,0.833333335
11,22,0.39,32.500000065,2.5000000049999995,2,13.833333361,1.166666669
12,24,0.45,19.166666704999997,1.166666669,2,12.166666691,0.666666668
13,26,0.81,11.333333356,1.5000000029999998,2,11.000000022,0.833333335
14,28,0.69,13.833333361,1.66666667,2,15.166666697,1.000000002
15,30,0.71,15.333333364,1.66666667,2,14.500000029,1.000000002
