territory,ecosystem,MgPerHa,MgPerHa_sd
Albania,marsh,250.07749012701493,19.439305222200446
Algeria,marsh,217.7041595259638,15.000905328539998
Angola,mangrove,369.58804492800033,32.54358273414107
Angola,marsh,216.7880956199324,7.082905514446477
Anguilla,mangrove,286.4011627906977,53.18142050584969
Antigua and Barbuda,mangrove,354.49210597327834,62.23027846019709
Antigua and Barbuda,marsh,232.47313643409132,12.093609798338598
Argentina,marsh,245.30048194752135,6.028912658203201
Aruba,mangrove,488.1514072680877,48.63267674937183
Australia,mangrove,312.180324421044,13.697785977501548
Australia,marsh,256.1642748499566,12.60807205571691
Bahamas,mangrove,429.1162265670025,69.67096689743443
Bahamas,marsh,230.7361588622803,22.515119261531265
Bahrain,mangrove,267.51030915736783,17.573109969133732
Bangladesh,mangrove,133.11067347205383,16.25843938522036
Bangladesh,marsh,173.4154535606942,5.88843420035911
Barbados,mangrove,352.1654411764706,30.69135299762726
Belgium,marsh,244.4825578383017,23.236386083908354
Belize,mangrove,322.489134243628,96.05391565797721
Belize,marsh,240.91429226029834,15.970480269154374
Benin,mangrove,226.77806597458357,43.5974347516398
Benin,marsh,244.1176669504303,9.626774204803425
Bermuda,mangrove,505.9123296126566,41.61158851800567
Bonaire,mangrove,551.7342463007403,82.14655606323684
Bosnia and Herzegovina,marsh,306.75234507345755,11.31935951505305
Brazil,mangrove,360.252008767205,19.06538027125696
Brazil,marsh,237.87539234940482,6.48089999522121
British Virgin Islands,mangrove,412.62375758695345,93.02113198076161
Brunei,mangrove,521.5136306353484,27.16156378206053
Brunei,marsh,284.7288886425542,19.331452362285873
Bulgaria,marsh,296.26984186243527,26.217029896361773
Cambodia,mangrove,297.6220841689245,46.81341647505907
Cambodia,marsh,245.42185290396645,9.145796056824615
Cameroon,mangrove,403.06791553235183,46.613369146379895
Canada,marsh,280.38158019088746,4.695604159096123
Canarias,marsh,179.99930944662933,9.360658339472685
Cayman Islands,mangrove,589.3384884600431,38.03949608600004
Cayman Islands,marsh,262.61315781657254,23.637529495521424
Chile,marsh,351.4844505124419,9.854639135875232
China,mangrove,224.75798128825585,19.101085291324107
China,marsh,181.53907193628376,3.696456187796849
Colombia,mangrove,483.09072677111635,21.176708664963535
Colombia,marsh,246.50064493205417,6.706424634847372
Comoros,mangrove,420.8350604646754,58.679657852616025
Comoros,marsh,262.39444799231205,13.63305460170866
Congo,marsh,238.3745839141458,13.481610086552044
Costa Rica,mangrove,336.2346862532462,36.15990712892521
