labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.29,147.97,5.45,2,58.61,6.24
2,4,0.33,155.71,5.85,2,59.27,5.9
3,6,0.34,152.21,6.17,2,58.58,6.33
4,8,0.37,113.99,4.68,2,59.03,5.71
5,10,0.38,111.4,5.56,2,64.54,7.53
6,12,0.34,95.55,4.88,2,41.56,6.79
7,14,0.35,98.4,5.36,2,64.68,7.29
8,16,0.31,105.59,5.16,2,69.63,7.13
9,18,0.3,86.5,4.95,2,63.15,5.53
10,20,0.31,88.49,3.82,2,72.43,5.22
11,22,0.25,74.95,4.43,2,61.81,6.59
12,24,0.21,65.26,6.65,2,76.85,8.54
13,26,0.24,57.05,5.87,2,88.25,9.45
14,28,0.22,64.35,6.06,2,98.41,9.78
15,30,0.21,50.48,6.73,2,79.87,8.42
16,32,0.25,62.11,5.75,2,89.76,8.91
17,34,0.26,46.92,4.39,2,72.19,6.88
18,36,0.27,65.31,4.94,2,84.79,7.49
19,38,0.22,59.15,5.72,2,90.16,7.42
20,40,0.24,61.26,5.49,2,91.94,8.33
21,42,0.32,41.75,5.01,2,69.42,6.14
22,44,0.26,49.65,4.87,2,71.68,7.82
23,46,0.24,36.61,4.65,2,74.3,7.3
24,48,0.22,45.01,4.64,2,71.94,7.67
25,50,0.34,36.05,3.79,2,64.92,6.07
26,52,0.37,31.96,3.79,2,63.2,6.07
27,54,0.38,34.58,5.26,2,65.98,6.55
28,56,0.32,35.08,3.84,2,58.62,6.3
29,58,0.3,32.84,3.79,2,59.69,6.38
30,60,0.3,38.98,3.9,2,64.8,6.23
