labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.353982894928077,184.4864735,5.580742655,2,28.6996491,3.435093136
2,6,0.58961768962443,134.7590798,4.829735114,2,30.15683686,3.468517978
3,10,0.348064960282838,123.3884988,5.047711314,2,29.64488821,4.068906225
4,14,0.459869324694568,67.85017843,4.175395596,2,33.99476549,3.766465494
5,18,0.29577961051967,55.69386542,4.725540096,2,37.79022081,4.198913423
6,22,0.269604239923383,33.63421217,3.910954903,2,35.54244246,4.052069987
7,26,0.233247141743647,39.45711511,3.785130228,2,22.26803705,3.215171126
8,30,0.286746225735562,30.53359964,3.427240776,2,18.17115698,3.741120554
9,34,0.267734977411833,16.36431542,2.378534218,2,22.85995844,3.293383843
10,38,0.250499863786313,16.26402449,3.436061513,2,27.22712442,3.091289235
11,42,0.210945927499473,15.528519,2.951701958,2,22.14278882,4.294359043
