labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2.5,0.09344,166.56866699980398,90.01435100652064,2.5
2,5,0.0976,168.813833670961,91.22764774741312,2.5
3,7.5,0.08964,142.71033361875402,77.1212154962572,2.5
4,10,0.11426,144.561166955789,78.12141298030521,2.5
5,15,0.11109,164.396166995459,88.84032361304328,5
6,20,0.12821,141.77833361689,76.61755909546505,5
7,30,0.12884,107.55333354844,58.122236866805586,5
8,40,0.09335,89.17666684502,48.191415201687526,5
9,50,0.11508,4.664000009327999,2.5204436194146895,5
10,60,0.13925,5.8500000117,3.1613626015385794,10
11,70,0.13106,4.846500009693,2.6190673245054232,10
12,100,0.50853,10.251333353835998,5.53986013947108,10
