depth	min	max	median	mean
0	-58	-58	-58	-58
1	-55	-53	-54	-54
2	-53	-49	-51	-51
3	-50	-44	-47	-47
4	-47	-40	-44	-44
5	-44	-36	-40	-40
6	-42	-31	-37	-37
7	-39	-27	-33	-33
8	-36	-22	-30	-30
9	-33	-18	-26	-26
10	-31	-14	-23	-23
11	-28	-9	-20	-19
12	-25	-5	-16	-16
13	-23	-1	-13	-12
14	-20	3	-9	-9
15	-17	7	-6	-6
16	-15	11	-2	-2
17	-12	15	1	1
18	-9	19	4	5
19	-6	23	8	8
20	-4	27	11	11
21	-1	31	14	15
22	2	36	18	18
23	4	40	21	21
24	7	44	24	25
25	10	47	28	28
26	12	51	31	31
27	15	55	34	34
28	17	59	37	38
29	20	63	41	41
30	23	66	44	44
31	25	70	47	47
32	28	73	50	50
33	30	77	53	53
34	33	81	56	57
35	35	84	60	60
36	38	88	63	63
37	40	91	66	66
38	43	95	69	69
39	45	98	72	72
40	48	101	75	75
41	50	105	78	78
42	53	108	81	81
43	55	112	84	84
44	57	115	87	87
45	60	118	90	89
46	62	121	93	92
47	64	125	95	95
48	66	128	98	98
49	68	131	101	101
50	71	134	104	103
51	73	137	107	106
52	75	140	109	109
53	77	143	112	111
54	79	146	115	114
55	81	149	117	117
56	83	152	120	119
57	85	155	123	122
58	87	157	125	124
59	89	160	128	127
60	91	163	130	129
61	93	165	133	132
62	95	168	135	134
63	97	170	138	137
64	98	173	140	139
65	100	175	143	141
66	102	178	145	144
67	104	180	147	146
68	105	182	150	148
69	107	185	152	150
70	109	187	154	153
71	110	189	157	155
72	112	192	159	157
73	114	194	161	159
74	115	196	163	161
75	117	198	165	163
76	118	200	167	165
77	119	202	170	167
78	120	204	172	169
79	122	206	174	171
80	123	208	176	173
81	124	210	178	175
82	126	212	180	177
83	127	213	182	179
84	128	215	184	180
85	130	217	185	182
86	131	218	187	184
87	132	220	189	186
88	133	222	191	187
89	135	224	192	189
90	136	225	194	190
91	137	227	196	192
92	137	228	197	193
93	138	230	199	195
94	139	231	200	196
95	140	233	202	198
96	141	234	203	199
97	142	235	205	200
98	143	237	206	201
99	144	238	207	203
100	144	240	208	204
