depth	min	max	median	mean
0	-57	-57	-57	-57
1	-56	-51	-54	-54
2	-56	-45	-51	-51
3	-52	-43	-48	-48
4	-49	-39	-45	-45
5	-45	-33	-41	-40
6	-42	-26	-36	-36
7	-36	-14	-29	-28
8	-31	0	-21	-20
9	-20	16	-2	-3
10	-11	41	15	15
11	-8	56	23	23
12	-5	74	30	31
13	-4	80	32	34
14	-4	86	34	36
15	-3	91	36	38
16	-2	96	38	41
17	11	102	44	47
18	20	107	50	54
19	33	114	62	65
20	44	122	74	76
21	47	128	78	81
22	49	135	82	85
23	51	140	86	89
24	53	146	89	92
25	58	151	95	98
26	61	158	101	104
27	65	165	107	109
28	69	172	113	115
29	71	177	117	119
30	73	183	121	123
31	75	187	126	127
32	78	192	130	132
33	82	198	135	136
34	85	204	140	141
35	90	210	145	146
36	94	216	150	151
37	98	222	155	156
38	102	227	160	161
39	106	233	165	166
40	109	239	170	171
41	114	245	175	177
42	118	252	180	182
