depth	min	max	median	mean
0	-60	-60	-60	-60
1	-59	-52	-56	-56
2	-57	-44	-52	-52
3	-55	-37	-48	-47
4	-53	-29	-43	-43
5	-50	-22	-39	-38
6	-48	-14	-35	-34
7	-45	-8	-30	-29
8	-43	0	-26	-25
9	-40	6	-22	-20
10	-38	14	-17	-16
11	-35	20	-13	-11
12	-32	27	-8	-7
13	-29	34	-3	-2
14	-26	41	1	3
15	-23	47	6	8
16	-20	54	11	12
17	-16	60	16	17
18	-13	66	20	22
19	-10	73	25	27
20	-8	80	30	32
21	-4	86	35	37
22	-2	93	40	42
23	2	99	45	46
24	4	106	50	51
25	7	112	55	56
26	10	119	60	61
27	14	125	65	66
28	16	131	69	71
29	18	138	74	76
30	21	145	79	81
31	24	152	84	86
32	27	159	89	90
33	29	166	94	95
34	31	174	99	100
35	33	181	104	105
36	35	189	109	110
