depth	min	max	median	mean
0	-64	-64	-64	-64
1	-63	-62	-63	-63
2	-62	-61	-61	-61
3	-59	-58	-59	-59
4	-57	-55	-56	-56
5	-56	-54	-55	-55
6	-54	-52	-53	-53
7	-52	-49	-51	-51
8	-49	-46	-48	-48
9	-45	-41	-43	-43
10	-40	-36	-38	-38
11	-36	-31	-33	-33
12	-32	-26	-29	-29
13	-29	-23	-26	-26
14	-27	-20	-24	-23
15	-23	-16	-20	-20
16	-20	-11	-16	-16
17	-16	-6	-11	-11
18	-12	0	-7	-6
19	-10	2	-4	-4
20	-8	5	-2	-2
21	-6	8	0	0
22	-4	10	2	3
23	0	15	7	7
24	4	19	11	11
25	7	23	14	14
26	9	27	17	17
27	12	32	21	21
28	15	36	24	25
29	20	44	30	31
30	24	52	36	37
31	32	65	48	48
32	39	82	59	60
33	44	94	69	69
34	49	110	78	78
35	50	115	81	81
36	52	121	84	85
37	53	127	88	89
38	55	135	92	92
39	58	141	96	97
40	60	149	100	101
