depth	min	max	median	mean
0	-59	-59	-59	-59
1	-58	-58	-58	-58
2	-57	-57	-57	-57
3	-56	-56	-56	-56
4	-55	-55	-55	-55
5	-53	-53	-53	-53
6	-52	-51	-51	-51
7	-50	-49	-50	-50
8	-48	-47	-48	-48
9	-47	-45	-46	-46
10	-45	-44	-44	-44
11	-43	-42	-42	-42
12	-41	-40	-41	-41
13	-38	-37	-38	-38
14	-35	-34	-35	-35
15	-32	-30	-31	-31
16	-29	-27	-28	-28
17	-26	-23	-25	-25
18	-23	-20	-21	-21
19	-20	-17	-19	-19
20	-17	-14	-16	-16
21	-15	-12	-14	-14
22	-14	-9	-12	-12
23	-11	-7	-10	-9
24	-9	-5	-7	-7
25	-8	-3	-6	-6
26	-6	-1	-4	-4
27	-5	0	-3	-3
28	-4	1	-2	-2
29	-1	4	2	2
30	2	8	5	5
31	5	11	7	8
32	7	14	10	10
33	10	17	14	14
34	14	21	17	17
35	17	26	21	21
36	21	30	25	25
37	26	37	31	31
38	31	44	36	37
39	36	52	42	43
40	41	60	49	49
41	48	72	57	57
42	54	83	65	66
43	67	104	84	85
44	79	131	103	104
45	83	140	110	111
46	87	153	117	118
47	89	159	122	122
48	91	167	126	127
49	93	173	130	130
50	94	180	133	134
51	97	186	137	138
52	99	192	141	142
53	101	198	145	146
54	104	204	149	151
55	107	209	154	155
56	110	216	158	160
