depth	min	max	median	mean
0	-66	-66	-66	-66
1	-65	-63	-64	-64
2	-63	-60	-62	-62
3	-61	-57	-59	-59
4	-59	-54	-57	-57
5	-56	-50	-54	-54
6	-53	-44	-49	-49
7	-47	-37	-43	-43
8	-44	-29	-38	-38
9	-39	-24	-33	-32
10	-34	-14	-25	-25
11	-27	-5	-17	-17
12	-25	0	-14	-14
13	-23	4	-11	-11
14	-20	9	-7	-7
15	-17	15	-3	-3
16	-14	21	1	2
17	-11	27	5	6
18	-7	34	10	11
19	-3	41	16	17
20	2	49	24	24
21	8	57	30	31
22	10	64	35	36
23	13	71	39	40
24	16	77	44	45
25	20	83	49	50
26	24	89	54	54
27	28	95	59	59
28	32	102	64	65
29	36	108	69	70
