depth	min	max	median	mean
0	-65	-65	-65	-65
1	-62	-61	-62	-62
2	-59	-58	-58	-58
3	-56	-55	-56	-56
4	-55	-53	-54	-54
5	-53	-52	-52	-52
6	-52	-50	-51	-51
7	-51	-49	-50	-50
8	-50	-48	-49	-49
9	-48	-46	-47	-47
10	-45	-43	-44	-44
11	-43	-41	-42	-42
12	-42	-40	-41	-41
13	-42	-39	-40	-40
14	-41	-38	-40	-40
15	-40	-37	-39	-39
16	-40	-37	-38	-38
17	-39	-36	-37	-37
18	-38	-34	-36	-36
19	-35	-32	-33	-33
20	-31	-27	-29	-29
21	-26	-22	-24	-24
22	-20	-15	-17	-17
23	-12	-5	-9	-9
24	-7	1	-3	-3
25	0	9	4	4
26	5	15	10	10
27	9	20	14	14
28	13	26	19	19
29	18	32	25	25
30	21	36	28	28
31	23	40	31	31
32	26	44	34	34
33	28	48	37	37
34	30	51	40	40
35	33	56	43	43
36	36	61	47	47
37	39	67	51	51
38	42	73	55	56
39	45	80	59	60
40	48	85	63	64
41	51	92	67	69
42	54	99	73	74
43	58	106	79	80
44	63	114	85	86
45	67	121	91	92
46	71	129	97	98
47	76	136	103	104
48	80	143	108	109
