depth	min	max	median	mean
0	-65	-65	-65	-65
1	-60	-60	-60	-60
2	-58	-57	-57	-57
3	-55	-54	-55	-55
4	-53	-52	-52	-52
5	-51	-49	-50	-50
6	-49	-47	-48	-48
7	-48	-46	-47	-47
8	-46	-44	-45	-45
9	-42	-40	-41	-41
10	-39	-36	-37	-37
11	-34	-31	-33	-33
12	-29	-25	-27	-27
13	-24	-20	-22	-22
14	-19	-14	-17	-17
15	-15	-9	-12	-12
16	-12	-5	-9	-9
17	-8	0	-4	-4
18	-5	3	-1	-1
19	-3	5	1	1
20	-2	7	3	3
21	0	9	4	4
22	1	11	6	6
23	3	13	8	8
24	7	18	13	13
25	15	27	21	21
26	22	38	30	30
27	32	43	37	37
28	35	48	41	41
29	39	53	45	45
30	42	58	49	49
31	46	65	55	55
32	52	74	61	62
33	59	85	71	71
34	67	97	81	81
35	73	113	91	91
36	78	123	98	99
37	81	128	102	102
38	83	134	105	106
39	86	140	110	111
40	90	147	116	116
41	93	152	120	120
42	95	157	123	124
43	99	163	128	129
44	103	170	134	135
45	106	177	138	139
46	109	182	143	143
47	112	188	147	148
48	116	194	152	153
