labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.1,238.2833338099,9.3833333521,2
2,4,0.16,237.5833338085,8.7500000175,2
3,6,0.21,215.2333337638,7.116666680899999,2
4,8,0.24,240.8166671483,7.9333333492,2
5,10,0.28,185.60000037119997,6.5666666798,2
6,12,0.22,176.3666670194,6.6000000132,2
7,14,0.27,168.1000003362,6.216666679099999,2
8,16,0.32,182.31666703129997,5.7000000114,2
9,18,0.17,250.2500005005,8.3166666833,2
10,20,0.17,260.6500005213,7.7666666822,2
11,22,0.15,208.60000041719996,8.0833333495,2
12,24,0.15,232.6166671319,8.0833333495,2
13,26,0.2,186.3666670394,6.633333346600001,2
14,28,0.24,188.1166670429,6.3500000127,2
15,30,0.22,176.03333368539998,5.816666678299999,2
16,32,0.27,167.60000033519998,6.466666679599999,2
17,34,0.25,148.8166669643,5.3833333440999995,2
18,36,0.26,150.166666967,5.433333344199999,2
19,38,0.32,135.3666669374,4.6166666759,2
20,40,0.3,112.3833335581,4.2166666751,2
21,42,0.3,123.8000002476,4.4333333422,2
22,44,0.27,119.0833335715,4.6166666759,2
23,46,0.26,14.8500000297,0.5666666678000001,2
24,48,0.25,139.0666669448,4.5666666758,2
25,50,0.25,144.2500002885,5.500000011,2
26,52,0.29,141.0500002821,5.1833333437,2
27,54,0.31,110.5333335544,4.8166666763,2
