depth	min	max	median	mean
0	-67	-67	-67	-67
1	-64	-63	-63	-63
2	-61	-58	-60	-60
3	-58	-55	-56	-56
4	-55	-51	-54	-53
5	-53	-48	-51	-51
6	-51	-44	-48	-48
7	-49	-41	-46	-46
8	-46	-37	-43	-43
9	-43	-34	-40	-40
10	-40	-30	-37	-36
11	-37	-26	-33	-33
12	-33	-22	-29	-29
13	-29	-18	-24	-24
14	-25	-12	-19	-19
15	-21	-7	-15	-15
16	-18	-3	-12	-11
17	-16	1	-8	-8
18	-13	5	-5	-5
19	-11	9	-2	-2
20	-8	14	2	2
21	-5	19	6	6
22	-1	24	10	10
23	2	29	14	14
24	6	34	18	18
25	10	39	23	23
26	13	44	27	28
27	16	50	32	32
28	20	55	36	36
29	23	60	40	40
30	25	65	44	44
31	28	69	47	48
32	31	73	51	51
33	33	77	54	54
34	35	81	57	58
35	38	85	61	61
36	41	89	64	64
37	43	93	67	67
38	46	96	71	71
39	49	100	74	74
40	52	104	78	78
41	55	108	81	81
42	58	112	85	84
43	61	115	88	88
44	64	119	92	91
45	67	123	95	95
46	70	127	98	98
47	73	130	102	102
48	77	133	105	105
49	80	137	109	109
50	83	140	113	112
51	86	144	116	116
52	89	147	119	119
53	92	151	123	123
54	95	155	127	126
55	99	158	130	130
56	102	162	134	133
57	105	166	137	137
58	109	169	141	140
59	112	172	144	144
60	115	176	148	147
61	119	179	152	151
62	122	182	155	154
63	125	185	159	158
64	128	189	162	161
65	131	192	166	165
66	135	195	169	168
67	138	198	173	172
68	141	201	176	175
69	145	204	180	178
70	148	208	183	182
71	151	210	187	185
72	154	213	190	188
73	158	217	193	192
74	161	220	197	195
75	164	222	200	199
76	168	225	204	202
77	171	228	207	205
78	174	230	211	208
79	177	233	214	212
80	180	235	217	215
81	183	238	221	218
82	186	240	224	221
83	188	242	227	224
84	191	245	230	228
85	193	247	234	230
86	195	249	237	233
87	197	251	240	236
88	199	253	243	239
