depth	min	max	median	mean
0	-66	-66	-66	-66
1	-65	-65	-65	-65
2	-64	-63	-63	-63
3	-62	-61	-62	-62
4	-60	-58	-59	-59
5	-58	-56	-57	-57
6	-56	-54	-55	-55
7	-54	-52	-53	-53
8	-52	-49	-50	-50
9	-50	-47	-48	-48
10	-48	-45	-46	-46
11	-46	-42	-44	-44
12	-44	-40	-42	-42
13	-41	-37	-39	-39
14	-39	-35	-37	-37
15	-36	-32	-34	-34
16	-33	-28	-31	-31
17	-30	-25	-27	-27
18	-27	-22	-25	-25
19	-25	-20	-23	-23
20	-24	-18	-20	-21
21	-22	-16	-19	-19
22	-20	-13	-16	-16
23	-17	-11	-14	-14
24	-15	-8	-11	-11
25	-13	-5	-9	-9
26	-11	-2	-6	-6
27	-8	2	-3	-3
28	-6	5	-1	-1
29	-4	8	2	2
30	-1	12	5	5
31	1	16	8	8
32	5	21	12	12
33	8	27	17	17
34	12	32	21	21
35	16	38	26	26
36	19	44	30	30
37	23	50	34	35
38	26	57	39	40
39	30	63	44	45
40	34	70	50	50
41	38	77	55	55
42	42	84	60	60
43	45	90	64	65
44	49	96	69	70
45	53	103	74	75
46	56	110	79	80
47	61	116	85	86
48	65	122	90	91
49	69	128	95	96
50	73	135	101	102
51	77	141	106	107
52	82	148	111	112
53	86	155	117	118
54	90	161	122	123
55	94	169	127	128
56	97	177	132	134
