depth	min	max	median	mean
0	-68	-68	-68	-68
1	-66	-61	-64	-64
2	-63	-54	-59	-59
3	-60	-47	-54	-54
4	-56	-41	-49	-49
5	-52	-35	-44	-44
6	-48	-29	-38	-38
7	-42	-24	-33	-33
8	-37	-18	-27	-27
9	-31	-13	-21	-21
10	-25	-7	-15	-16
11	-21	0	-10	-10
12	-16	7	-5	-5
13	-12	15	1	1
14	-8	22	6	6
15	-5	29	11	11
16	-1	36	16	17
17	4	43	21	22
18	8	50	26	27
19	12	56	31	32
20	16	63	36	37
21	20	69	41	42
22	24	75	46	47
23	28	81	52	52
24	31	88	57	57
25	35	93	62	62
26	39	99	66	67
27	43	105	72	72
28	48	110	77	77
29	52	116	82	82
30	56	122	87	87
31	60	128	92	92
32	64	134	97	97
33	68	139	102	102
34	72	145	107	107
35	76	150	112	112
36	80	156	116	117
37	84	161	121	122
38	88	167	127	127
39	92	173	132	132
40	96	179	137	137
41	100	184	142	142
42	104	190	147	147
43	108	196	152	152
44	112	201	157	157
45	116	208	162	162
46	120	213	166	167
47	123	219	171	171
48	127	225	176	176
49	130	230	181	181
50	133	236	186	186
51	136	242	191	191
52	139	248	196	196
