depth	min	max	median	mean
0	-60	-60	-60	-60
1	-59	-59	-59	-59
2	-59	-57	-58	-58
3	-58	-56	-57	-57
4	-57	-55	-56	-56
5	-56	-54	-55	-55
6	-56	-52	-54	-54
7	-55	-52	-53	-53
8	-54	-51	-53	-53
9	-54	-50	-52	-52
10	-53	-49	-51	-51
11	-51	-47	-50	-49
12	-51	-46	-48	-48
13	-49	-44	-47	-47
14	-48	-42	-45	-45
15	-46	-40	-44	-43
16	-45	-38	-42	-42
17	-44	-37	-41	-41
18	-43	-35	-39	-39
19	-41	-33	-38	-38
20	-40	-32	-36	-36
21	-39	-30	-35	-35
22	-36	-27	-33	-32
23	-34	-24	-30	-30
24	-32	-21	-28	-27
25	-31	-19	-26	-26
26	-29	-17	-25	-24
27	-28	-15	-23	-23
28	-26	-13	-21	-21
29	-25	-11	-19	-19
30	-23	-8	-18	-17
31	-21	-6	-16	-15
32	-19	-3	-14	-13
33	-18	-1	-12	-11
34	-16	2	-10	-10
35	-15	4	-9	-8
36	-13	7	-7	-6
37	-11	11	-4	-3
38	-10	16	-1	0
39	-8	20	1	3
40	-6	26	5	6
41	-4	33	9	10
42	-1	39	12	14
43	1	46	16	18
44	4	53	21	23
45	6	62	25	27
46	9	68	30	32
47	12	75	35	37
48	15	83	40	42
49	18	89	45	47
50	21	97	50	52
51	23	105	55	57
52	26	111	59	62
53	29	119	64	67
54	31	127	68	71
55	35	133	73	76
56	37	140	78	81
57	40	147	83	86
58	43	154	87	91
59	46	161	92	95
60	48	168	97	100
