labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,6,0.26,150.728603186,6.833333347,2
2,8,0.54,129.22860314300002,6.500000013,2
3,10,0.23,112.395269776,6.000000011999999,2
4,12,0.18,141.728603168,7.500000015,2
5,14,0.2,108.728603102,6.500000013,2
6,16,0.16,121.895269795,6.1666666789999995,2
7,18,0.23,113.228603111,6.1666666789999995,2
8,20,0.28,102.228603089,6.1666666789999995,2
9,22,0.25,106.06193643,6.500000013,2
10,24,0.14,103.56193642499998,8.33333335,2
11,26,0.17,95.22860307499998,5.500000011,2
12,30,0.22,79.06193637599999,6.1666666789999995,2
13,32,0.22,73.728603032,7.833333348999998,2
14,34,0.13,99.228603083,6.1666666789999995,2
15,36,0.14,85.06193638799999,6.333333346,2
16,38,0.18,84.39526972,7.833333348999998,2
17,40,0.27,70.561936359,6.1666666789999995,2
18,42,0.26,93.061936404,6.500000013,2
19,44,0.19,77.895269707,5.6666666779999995,2
20,46,0.22,82.561936383,6.000000011999999,2
21,48,0.23,74.3952697,6.000000011999999,2
22,50,0.34,86.72860305799999,7.166666681,2
