labID,depth.cm.,density.g.cm.3.,X210Pb.Bq.kg.,sd.210Pb.,interval,X226Ra.Bq.kg.,sd.226Ra.
1,1,1.02583333333333,29.112790512234,2.76978044084148,1,31.49161046801,1.72907817811832
2,2,1.20105263157895,28.048164804949,2.63245512673422,1,29.4188312837277,1.64897172660039
3,3,1.27142857142857,21.461128260094,2.34074018620269,1,32.1627951759419,2.20736265270554
4,4,1.25966666666667,10.7640076188689,0.383399202694855,1,NA,NA
5,5,1.22,14.42076036641,0.473875194361076,1,NA,NA
6,6,1.17846153846154,15.5733470040404,0.506153209709032,1,NA,NA
7,7,1.19058823529412,16.7533443250415,0.536040673379755,1,NA,NA
8,8,1.21909090909091,16.9962345397361,0.566475584650522,1,NA,NA
9,9,1.23975,17.202964982986,0.551019726428217,1,NA,NA
10,10,1.26392857142857,16.4102791428763,0.526942886565941,1,NA,NA
11,11,1.23205882352941,16.5677625101817,0.530837289804106,1,NA,NA
12,12,1.18291666666667,16.177530208771,0.523883912889537,1,NA,NA
13,13,1.22225,16.0949149531155,0.545051294348906,1,NA,NA
15,14,1.20361111111111,15.727276546944,0.521268301506493,1,NA,NA
16,15,1.252,14.5448993218705,0.503987142339588,1,NA,NA
17,16,1.2575,13.0755132119064,0.459632117211776,1,NA,NA
18,17,1.30352941176471,11.4395301231978,0.427183757966662,1,NA,NA
19,18,1.31529411764706,10.2261400006906,0.387125948555897,1,NA,NA
20,18.5,1.3275,10.5465175527803,0.397545752418986,0.5,NA,NA
14,23,1.26429763700352,15.6734281703105,0.544491099880984,11,NA,NA
