labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,3,0.02,131.333333596,17.833333369,3
2,6,0.03,208.83333375099997,11.833333357,3
3,9,0.02,205.166667077,15.500000031,3
4,12,0.02,250.833333835,12.833333359,3
5,15,0.02,252.00000050399996,13.000000026,3
6,18,0.03,221.66666711,14.000000028,3
7,21,0.05,233.66666713399997,13.500000027,3
8,24,0.12,192.833333719,10.666666688,3
9,27,0.13,162.333333658,8.33333335,3
10,30,0.19,104.500000209,8.500000017,3
11,33,0.23,84.66666683599999,7.000000013999999,3
12,36,0.26,68.500000137,4.166666675,3
13,39,0.27,67.500000135,5.166666676999999,3
14,42,0.21,60.833333454999995,4.500000009,3
15,51,0.28,51.500000103,4.3333333419999995,9
