labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,1.17,33.66128216,5.661486864,2,20.64810208,1.782652408
2,4,1.25,28.82563396,5.072642835,2,19.78189579,1.792609791
3,6,1.35,28.36049774,4.905331932,2,20.58924782,1.811118975
4,8,1.41,24.5157919,4.395707761,2,19.80686956,1.785894366
5,10,1.42,25.91249547,4.56292369,2,20.94872558,1.857095934
6,12,1.56,18.95092702,3.507451288,2,21.81868668,1.928618846
7,14,1.58,16.56090275,3.195363178,2,20.85075933,1.856227043
8,18,1.53,17.80186779,3.196346768,2,17.99434367,1.574187291
